case,version,n,median_ns,min_ns,max_ns,median_B,median_allocs
BenchmarkGCStructCardScan/fields=256/ranges=1/unordered=false,baseline,6,210.8,209.7,215.2,0.0,0.0
BenchmarkGCStructCardScan/fields=256/ranges=1/unordered=false,optimized,6,212.65,210.2,216.2,0.0,0.0
BenchmarkGCStructCardScan/fields=256/ranges=1/unordered=true,baseline,6,236.75,234.5,242.3,0.0,0.0
BenchmarkGCStructCardScan/fields=256/ranges=1/unordered=true,optimized,6,233.85,233.1,234.8,0.0,0.0
BenchmarkGCStructCardScan/fields=256/ranges=2/unordered=false,baseline,6,454.15,448.4,462.7,0.0,0.0
BenchmarkGCStructCardScan/fields=256/ranges=2/unordered=false,optimized,6,457.2,450.2,463.9,0.0,0.0
BenchmarkGCStructCardScan/fields=256/ranges=2/unordered=true,baseline,6,448.95000000000005,440.1,455.4,0.0,0.0
BenchmarkGCStructCardScan/fields=256/ranges=2/unordered=true,optimized,6,450.65,443.0,458.6,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=1/unordered=false,baseline,6,3799.0,3750.0,3850.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=1/unordered=false,optimized,6,3780.0,3758.0,3850.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=1/unordered=true,baseline,6,4477.0,4423.0,4520.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=1/unordered=true,optimized,6,4456.0,4431.0,4504.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=2/unordered=false,baseline,6,8976.5,8713.0,9109.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=2/unordered=false,optimized,6,8859.0,8698.0,9101.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=2/unordered=true,baseline,6,8520.5,8410.0,8683.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=2/unordered=true,optimized,6,8665.5,8415.0,8774.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=4/unordered=false,baseline,6,18138.0,17829.0,18329.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=4/unordered=false,optimized,6,18040.0,17405.0,18332.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=4/unordered=true,baseline,6,17277.5,17036.0,17889.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=4/unordered=true,optimized,6,17345.0,17189.0,17513.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=8/unordered=false,baseline,6,35955.5,34576.0,36257.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=8/unordered=false,optimized,6,35998.5,34320.0,36742.0,0.0,0.0
