bounds,benchmark,engine,unit,main_median,after_median,change_percent,p,main_samples,after_samples,measurement,status
signals,BenchmarkExec/isa_simd_v128.or,wago,calls/batch,1132,1137.5,0.4858657243816289,0.9675324675324676,6,6,reported,paired
signals,BenchmarkExec/isa_simd_v128.or,wago,B/op,0,0,0,1,6,6,raw per batch; use per-call metric,paired
signals,BenchmarkExec/isa_simd_v128.or,wago,allocs/op,0,0,0,1,6,6,raw per batch; use per-call metric,paired
signals,BenchmarkExec/isa_simd_v128.or,wago,B/call,0,0,0,1,6,6,derived per sample from calls/batch,paired
signals,BenchmarkExec/isa_simd_v128.or,wago,allocs/call,0,0,0,1,6,6,derived per sample from calls/batch,paired
signals,BenchmarkExec/isa_simd_v128.xor,wago,ns/op,1794,1750,-2.4526198439241864,0.9004329004329005,6,6,reported,paired
signals,BenchmarkExec/isa_simd_v128.xor,wago,calls/batch,1125,1148.5,2.0888888888888957,1,6,6,reported,paired
signals,BenchmarkExec/isa_simd_v128.xor,wago,B/op,0,0,0,1,6,6,raw per batch; use per-call metric,paired
signals,BenchmarkExec/isa_simd_v128.xor,wago,allocs/op,0,0,0,1,6,6,raw per batch; use per-call metric,paired
signals,BenchmarkExec/isa_simd_v128.xor,wago,B/call,0,0,0,1,6,6,derived per sample from calls/batch,paired
signals,BenchmarkExec/isa_simd_v128.xor,wago,allocs/call,0,0,0,1,6,6,derived per sample from calls/batch,paired
signals,BenchmarkExec/isa_simd_v128.bitselect,wago,ns/op,3550,3459.5,-2.549295774647886,0.512987012987013,6,6,reported,paired
signals,BenchmarkExec/isa_simd_v128.bitselect,wago,calls/batch,571.5,579,1.3123359580052396,0.9372294372294372,6,6,reported,paired
signals,BenchmarkExec/isa_simd_v128.bitselect,wago,B/op,0,0,0,1,6,6,raw per batch; use per-call metric,paired
signals,BenchmarkExec/isa_simd_v128.bitselect,wago,allocs/op,0,0,0,1,6,6,raw per batch; use per-call metric,paired
signals,BenchmarkExec/isa_simd_v128.bitselect,wago,B/call,0,0,0,1,6,6,derived per sample from calls/batch,paired
signals,BenchmarkExec/isa_simd_v128.bitselect,wago,allocs/call,0,0,0,1,6,6,derived per sample from calls/batch,paired
signals,BenchmarkExec/isa_simd_i8x16.abs,wago,ns/op,1784,1767,-0.9529147982062836,0.9372294372294372,6,6,reported,paired
signals,BenchmarkExec/isa_simd_i8x16.abs,wago,calls/batch,1126,1145.5,1.7317939609236221,0.7294372294372294,6,6,reported,paired
signals,BenchmarkExec/isa_simd_i8x16.abs,wago,B/op,0,0,0,1,6,6,raw per batch; use per-call metric,paired
signals,BenchmarkExec/isa_simd_i8x16.abs,wago,allocs/op,0,0,0,1,6,6,raw per batch; use per-call metric,paired
signals,BenchmarkExec/isa_simd_i8x16.abs,wago,B/call,0,0,0,1,6,6,derived per sample from calls/batch,paired
signals,BenchmarkExec/isa_simd_i8x16.abs,wago,allocs/call,0,0,0,1,6,6,derived per sample from calls/batch,paired
signals,BenchmarkExec/isa_simd_i8x16.neg,wago,ns/op,1273.5,1261.5,-0.9422850412249661,0.7316017316017316,6,6,reported,paired
signals,BenchmarkExec/isa_simd_i8x16.neg,wago,calls/batch,1609.5,1581.5,-1.7396707051879456,0.48484848484848486,6,6,reported,paired
signals,BenchmarkExec/isa_simd_i8x16.neg,wago,B/op,0,0,0,1,6,6,raw per batch; use per-call metric,paired
signals,BenchmarkExec/isa_simd_i8x16.neg,wago,allocs/op,0,0,0,1,6,6,raw per batch; use per-call metric,paired
signals,BenchmarkExec/isa_simd_i8x16.neg,wago,B/call,0,0,0,1,6,6,derived per sample from calls/batch,paired
signals,BenchmarkExec/isa_simd_i8x16.neg,wago,allocs/call,0,0,0,1,6,6,derived per sample from calls/batch,paired
