bounds,label,group,sample,peak_rss_KiB
signals,final,BenchmarkExecHostRoundtrip_wago,0,20700
signals,final,BenchmarkExecHostRoundtrip_wago,1,22488
signals,base,BenchmarkExecHostRoundtrip_wago,1,22872
signals,base,BenchmarkExecHostRoundtrip_wago,2,22872
signals,final,BenchmarkExecHostRoundtrip_wago,2,22572
signals,final,BenchmarkExecHostRoundtrip_wago,3,22724
signals,base,BenchmarkExecHostRoundtrip_wago,3,22688
signals,base,BenchmarkExecHostRoundtrip_wago,4,22820
signals,final,BenchmarkExecHostRoundtrip_wago,4,22692
signals,final,BenchmarkExecHostRoundtrip_wago,5,22512
signals,base,BenchmarkExecHostRoundtrip_wago,5,22872
signals,base,BenchmarkExecHostRoundtrip_wazero,0,21160
signals,final,BenchmarkExecHostRoundtrip_wazero,0,21200
signals,final,BenchmarkExecHostRoundtrip_wazero,1,19216
signals,base,BenchmarkExecHostRoundtrip_wazero,1,19396
signals,base,BenchmarkExecHostRoundtrip_wazero,2,19100
signals,final,BenchmarkExecHostRoundtrip_wazero,2,19404
signals,final,BenchmarkExecHostRoundtrip_wazero,3,18872
signals,base,BenchmarkExecHostRoundtrip_wazero,3,18988
signals,base,BenchmarkExecHostRoundtrip_wazero,4,18896
signals,final,BenchmarkExecHostRoundtrip_wazero,4,21364
signals,final,BenchmarkExecHostRoundtrip_wazero,5,19232
signals,base,BenchmarkExecHostRoundtrip_wazero,5,19404
signals,base,BenchmarkExecGlobalGet_wago,0,18352
signals,final,BenchmarkExecGlobalGet_wago,0,18212
signals,final,BenchmarkExecGlobalGet_wago,1,18004
signals,base,BenchmarkExecGlobalGet_wago,1,18200
signals,base,BenchmarkExecGlobalGet_wago,2,18188
signals,final,BenchmarkExecGlobalGet_wago,2,18184
signals,final,BenchmarkExecGlobalGet_wago,3,18148
signals,base,BenchmarkExecGlobalGet_wago,3,18284
signals,base,BenchmarkExecGlobalGet_wago,4,18040
signals,final,BenchmarkExecGlobalGet_wago,4,18208
signals,final,BenchmarkExecGlobalGet_wago,5,18056
signals,base,BenchmarkExecGlobalGet_wago,5,17996
signals,base,BenchmarkExecGlobalSet_wago,0,17888
signals,final,BenchmarkExecGlobalSet_wago,0,18288
signals,final,BenchmarkExecGlobalSet_wago,1,20260
signals,base,BenchmarkExecGlobalSet_wago,1,18036
signals,base,BenchmarkExecGlobalSet_wago,2,18124
signals,final,BenchmarkExecGlobalSet_wago,2,18476
signals,final,BenchmarkExecGlobalSet_wago,3,17940
signals,base,BenchmarkExecGlobalSet_wago,3,18140
signals,base,BenchmarkExecGlobalSet_wago,4,20528
signals,final,BenchmarkExecGlobalSet_wago,4,18180
signals,final,BenchmarkExecGlobalSet_wago,5,16068
signals,base,BenchmarkExecGlobalSet_wago,5,19872
signals,base,BenchmarkExecLocalGet_wago,0,18096
signals,final,BenchmarkExecLocalGet_wago,0,18256
