run,bounds,benchmark,unit,main_median,after_median,change_percent,p,samples_each,pre_fix_median,after_vs_pre_fix_percent,benchtime
compact-rss-explicit,explicit,BenchmarkCompileCompact/fib_iter,ns/op,57378.5,63555.5,10.765356361703414,0.5887445887445888,6,55875.5,13.744843446591082,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/fib_iter,B/op,13184,12672,-3.8834951456310662,0.0021645021645021645,6,12672,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/fib_iter,allocs/op,28,28,0,1,6,28,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/fib_rec,ns/op,42505.5,56366.5,32.60989754267094,0.13203463203463203,6,49138.5,14.709443715213123,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/fib_rec,B/op,13264,12496,-5.79010856453559,0.0021645021645021645,6,12496,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/fib_rec,allocs/op,37,37,0,1,6,37,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/arith,ns/op,57479,48721.5,-15.235999234503039,0.3939393939393939,6,47009,3.6429194409581145,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/arith,B/op,27456,12864,-53.14685314685315,0.0021645021645021645,6,12864,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/arith,allocs/op,27,27,0,1,6,27,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/float,ns/op,40847,45656.5,11.774426518471358,0.24025974025974026,6,40417,12.963604423881048,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/float,B/op,28048,13456,-52.02509982886481,0.0021645021645021645,6,13456,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/float,allocs/op,41,41,0,1,6,41,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/memory,ns/op,58736,49363.5,-15.956994007082537,0.24025974025974026,6,48902.5,0.9426920914063608,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/memory,B/op,13584,12688,-6.595995288574796,0.0021645021645021645,6,12688,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/memory,allocs/op,34,34,0,1,6,34,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/memory_tree,ns/op,70428,61270.5,-13.002640995058778,0.3939393939393939,6,61862.5,-0.9569610022226671,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/memory_tree,B/op,28448,16928,-40.4949381327334,0.0021645021645021645,6,16928,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/memory_tree,allocs/op,51,51,0,1,6,51,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/globals,ns/op,42911,39920.5,-6.969075528419289,0.30952380952380953,6,46212,-13.61442915260106,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/globals,B/op,13672,12904,-5.617320070216502,0.0021645021645021645,6,12904,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/globals,allocs/op,40,40,0,1,6,40,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/dispatch,ns/op,50320,44835,-10.900238473767887,0.09307359307359307,6,49203,-8.877507469056766,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/dispatch,B/op,11304,11288,-0.14154281670205604,0.0021645021645021645,6,11288,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/dispatch,allocs/op,43,43,0,1,6,43,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/branches,ns/op,35742.5,36809.5,2.9852416590893105,0.9372294372294372,6,30302,21.475480166325656,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/branches,B/op,13248,12224,-7.729468599033817,0.0021645021645021645,6,12224,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/branches,allocs/op,25,25,0,1,6,25,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/many_funcs,ns/op,350468.5,309345.5,-11.733722146212855,0.0021645021645021645,6,331246.5,-6.6116925009019,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/many_funcs,B/op,53224,52968,-0.48098602134375446,0.0021645021645021645,6,52968,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/many_funcs,allocs/op,39,39,0,1,6,39,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/linked_list,ns/op,49729.5,43372,-12.784162318141146,0.07142857142857142,6,48687,-10.916671801507594,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/linked_list,B/op,16816,14896,-11.41769743101808,0.0021645021645021645,6,14896,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/linked_list,allocs/op,38,38,0,1,6,38,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/mandelbrot,ns/op,48141,48301.5,0.33339565027730167,0.9372294372294372,6,50641,-4.619774491025064,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/mandelbrot,B/op,30256,22064,-27.07562136435748,0.0021645021645021645,6,22064,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/mandelbrot,allocs/op,58,58,0,1,6,58,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/sieve,ns/op,49749.5,51592.5,3.7045598448225636,0.8181818181818182,6,43943.5,17.40644236348947,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/sieve,B/op,20928,17600,-15.902140672782872,0.0021645021645021645,6,17600,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/sieve,allocs/op,39,39,0,1,6,39,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/nbody,ns/op,142354,146687.5,3.0441715722775653,0.6991341991341992,6,118975,23.292708552216858,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/nbody,B/op,74160,74160,0,1,6,74160,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/nbody,allocs/op,92,92,0,1,6,92,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/spectralnorm,ns/op,138777.5,127952,-7.800616094107471,0.30952380952380953,6,99514,28.57688365456117,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/spectralnorm,B/op,63992,63992,0,1,6,63992,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/spectralnorm,allocs/op,81,81,0,1,6,81,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/fannkuch,ns/op,241928,194958.5,-19.414660560166663,0.09307359307359307,6,149027,30.820925067269698,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/fannkuch,B/op,69296,69296,0,1,6,69296,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/fannkuch,allocs/op,71,71,0,1,6,71,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/matmul,ns/op,119265.5,124971.5,4.784283803782308,0.48484848484848486,6,95060.5,31.465224777904588,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/matmul,B/op,64824,64824,0,1,6,64824,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/matmul,allocs/op,78,78,0,1,6,78,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/quicksort,ns/op,114592,90721.5,-20.830860793074557,0.13203463203463203,6,105134.5,-13.709105954753198,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/quicksort,B/op,30024,30024,0,1,6,30024,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/quicksort,allocs/op,72,72,0,1,6,72,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/crc32,ns/op,78704,72211.5,-8.249263061597889,0.3939393939393939,6,59552.5,21.256874186642037,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/crc32,B/op,28592,28592,0,1,6,28592,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/crc32,allocs/op,47,47,0,1,6,47,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/sha256,ns/op,131248.5,106156,-19.118313733109325,0.13203463203463203,6,120683.5,-12.037685350524308,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/sha256,B/op,65944,65944,0,1,6,65944,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/sha256,allocs/op,57,57,0,1,6,57,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/raytrace,ns/op,285716,245780,-13.97751613490319,0.17965367965367965,6,231728.5,6.0637772220508035,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/raytrace,B/op,145840,145840,0,1,6,145840,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/raytrace,allocs/op,119,119,0,1,6,119,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/regexmatch,ns/op,48077051,41704925.5,-13.253985773794652,0.0021645021645021645,6,41554993.5,0.3608038104975231,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/regexmatch,B/op,1397320,1395352,-0.1408410385595249,0.0021645021645021645,6,1395352,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/regexmatch,allocs/op,1947,1949,0.10272213662043672,0.0021645021645021645,6,1949,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/wasm3,ns/op,12135253.5,10367055,-14.570758657822847,0.0021645021645021645,6,10451116,-0.8043255858991571,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/wasm3,B/op,505536,502904,-0.520635523483981,0.0021645021645021645,6,502904,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/wasm3,allocs/op,837,839,0.2389486260454099,0.0021645021645021645,6,839,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/json-as,ns/op,1392149.5,1331605.5,-4.348958211743781,0.5887445887445888,6,1157460.5,15.045437835675601,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/json-as,B/op,136240,136784,0.39929536112741637,0.0021645021645021645,6,136784,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/json-as,allocs/op,148,148,0,1,6,148,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/blake-as,ns/op,422915.5,353729.5,-16.3592963606205,0.17965367965367965,6,408609,-13.430810383520676,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/blake-as,B/op,133816,133616,-0.14945895856998126,0.0021645021645021645,6,133616,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/blake-as,allocs/op,97,93,-4.123711340206182,0.0021645021645021645,6,93,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/utf-as,ns/op,266519.5,230892,-13.36768979380496,0.3939393939393939,6,238947,-3.371040439930195,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/utf-as,B/op,121896,121880,-0.01312594342718354,0.0021645021645021645,6,121880,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/utf-as,allocs/op,72,72,0,1,6,72,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/xjb-mulhi,ns/op,73128.5,74927,2.459369466076833,0.6991341991341992,6,58671,27.707044366041146,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/xjb-mulhi,B/op,28544,17024,-40.35874439461884,0.0021645021645021645,6,17024,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/xjb-mulhi,allocs/op,31,31,0,1,6,31,0,1x
