run,bounds,benchmark,version,unit,main_median,after_median,absolute_change,change_percent,p,prior_PR_median,change_vs_prior_percent,p_vs_prior,samples_each,note
timed-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,before,code-B,57638,57638,0,0,1,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,final,code-B,57638,57638,0,0,1,57638,0,1,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,before,B/op,750774.5,754878.5,4104,0.5466355077323515,0.004329004329004329,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,final,B/op,750774.5,729916,-20858.5,-2.7782643123867468,0.0021645021645021645,754878.5,-3.3068235484253417,0.0021645021645021645,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,before,allocs/op,629,595,-34,-5.405405405405405,0.0021645021645021645,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,final,allocs/op,629,583,-46,-7.31319554848967,0.0021645021645021645,595,-2.0168067226890796,0.0021645021645021645,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkCompileCompact/json-as,before,ns/op,1264981,1133069,-131912,-10.427982712783823,0.0021645021645021645,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkCompileCompact/json-as,final,ns/op,1264981,1124278,-140703,-11.12293386224773,0.0021645021645021645,1133069,-0.7758574279236319,0.6991341991341992,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkCompileCompact/json-as,before,B/op,136409,136936,527,0.3863381448438119,0.0021645021645021645,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkCompileCompact/json-as,final,B/op,136409,136521,112,0.08210601939755424,0.0021645021645021645,136936,-0.30306128410352295,0.0021645021645021645,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkCompileCompact/json-as,before,allocs/op,148,148,0,0,1,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
