goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/src/core/runtime/gc/native
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=1                    	   61333	      3914 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=2                    	   29223	      7856 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=8                    	    7700	     31425 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=15                   	    4200	     58938 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8/ranges=1/unordered=false                  	 4738110	        51.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8/ranges=1/unordered=true                   	 4591093	        52.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=256/ranges=1/unordered=false                	 1000000	       229.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=256/ranges=1/unordered=true                 	 1000000	       230.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=256/ranges=2/unordered=false                	  541881	       462.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=256/ranges=2/unordered=true                 	  527985	       461.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=1/unordered=false               	   61582	      3912 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=1/unordered=true                	   61843	      3946 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=2/unordered=false               	   30447	      7830 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=2/unordered=true                	   30344	      7985 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=4/unordered=false               	   14920	     16198 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=4/unordered=true                	   15279	     15746 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=8/unordered=false               	    7878	     31655 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=8/unordered=true                	    7711	     31546 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=15/unordered=false              	    4110	     58827 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=15/unordered=true               	    4143	     58698 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=16/unordered=false              	    7108	     34074 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=16/unordered=true               	    7071	     34313 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=32/unordered=false              	    5751	     42913 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=32/unordered=true               	    5502	     42614 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=33/unordered=false              	    1807	    133782 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=33/unordered=true               	    1774	    132696 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=256/ranges=1                     	 1000000	       235.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=256/ranges=2                     	  518334	       468.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=1                    	   60506	      3997 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=2                    	   30068	      7821 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=4                    	   15336	     15725 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=8                    	    7864	     32917 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=15                   	    4165	     58808 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=16                   	    6750	     33951 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=32                   	    5882	     43155 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=33                   	    1890	    129603 ns/op	       0 B/op	       0 allocs/op
PASS
goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/src/core/runtime/gc/native
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics
BenchmarkGCStructCardScanControls/fields=255/ranges=15         	   98871	      2407 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=255/ranges=16         	   91788	      2559 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=256/ranges=15         	   99508	      2389 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=256/ranges=16         	  159432	      1484 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=257/ranges=15         	  101562	      2387 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=257/ranges=16         	  169557	      1497 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=4097/ranges=15        	    7557	     31906 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=4097/ranges=16        	   13947	     17284 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=4097/ranges=32        	   10000	     22629 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=4097/ranges=33        	    3265	     71915 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/array/ranges=1               	 2232331	       107.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/array/ranges=15              	  163104	      1469 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/array/ranges=16              	  150811	      1578 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/array/ranges=32              	   77096	      3116 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/array/ranges=33              	   74474	      3234 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=15/mixed=false         	    7204	     33224 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=15/mixed=true          	    6597	     35832 ns/op	      45 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=16/mixed=false         	   12926	     18311 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=16/mixed=true          	   10000	     20359 ns/op	      38 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=32/mixed=false         	    9085	     24933 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=32/mixed=true          	    8302	     28051 ns/op	      41 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=33/mixed=false         	    3283	     73064 ns/op	      25 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=33/mixed=true          	    3177	     76224 ns/op	      68 B/op	       1 allocs/op
