goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/src/core/runtime/gc/native
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics
BenchmarkGCStructCardCollectMinor/moving=true/ranges=16/mixed=true           	    3430	     67842 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=32/mixed=false          	     987	    232544 ns/op	      25 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=32/mixed=true           	     933	    240814 ns/op	      27 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=33/mixed=false          	     990	    243480 ns/op	      27 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=33/mixed=true           	     906	    260271 ns/op	      28 B/op	       1 allocs/op
BenchmarkGCStructCardScanSparseReferences/ranges=15                          	    7233	     33475 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanSparseReferences/ranges=16                          	    6918	     35200 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanSparseReferences/ranges=32                          	    3578	     70243 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanSparseReferences/ranges=33                          	    3240	     72982 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanMixedParent/fields=256/ranges=1                     	  959152	       253.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanMixedParent/fields=256/ranges=2                     	  464485	       517.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=1                    	   57536	      4212 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=2                    	   22404	     10172 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=8                    	    6030	     39818 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=15                   	    3475	     73328 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8/ranges=1/unordered=false                  	 4952577	        48.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8/ranges=1/unordered=true                   	 4971573	        48.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=256/ranges=1/unordered=false                	  589356	       394.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=256/ranges=1/unordered=true                 	  579088	       391.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=256/ranges=2/unordered=false                	  281041	       843.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=256/ranges=2/unordered=true                 	  447116	       551.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=1/unordered=false               	   52190	      4367 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=1/unordered=true                	   47755	      4935 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=2/unordered=false               	   24864	      9994 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=2/unordered=true                	   25076	      9370 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=4/unordered=false               	   12144	     20742 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=4/unordered=true                	   12217	     19463 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=8/unordered=false               	    5928	     40519 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=8/unordered=true                	    5917	     38784 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=15/unordered=false              	    3130	     77279 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=15/unordered=true               	    3182	     80980 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=16/unordered=false              	    2499	     93813 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=16/unordered=true               	    2614	     79261 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=32/unordered=false              	    1502	    168142 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=32/unordered=true               	    1533	    164228 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=33/unordered=false              	    1443	    177885 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=33/unordered=true               	    1364	    172257 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=256/ranges=1                     	 1000000	       239.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=256/ranges=2                     	  474913	       530.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=1                    	   56847	      4135 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=2                    	   24156	      9938 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=4                    	   12096	     19928 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=8                    	    5761	     39756 ns/op	       0 B/op	       0 allocs/op
