File: before-signals.test
Build ID: 78aa917447782568e289d82f2cdd5c14c0b955b8
Type: cpu
Time: 2026-09-08 17:32:24 EDT
Duration: 1.50s, Total samples = 1.51s (100.96%)
Showing nodes accounting for 1.51s, 100% of 1.51s total
      flat  flat%   sum%        cum   cum%
     0.91s 60.26% 60.26%      0.91s 60.26%  runtime._ExternalCode
         0     0%   100%      0.03s  1.99%  github.com/wago-org/wago/src/wago.(*Runtime).instantiateOrigin
         0     0%   100%      0.03s  1.99%  github.com/wago-org/wago/src/wago.(*Runtime).instantiateWithHooksOrigin
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/wago.(*Runtime).prepareCompile
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/wago.(*Runtime).prepareCompile.func1
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/wago.(*hookRegistry).appendGated.func2
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/wago.(*hookRegistry).appendGated.func2.1
         0     0%   100%      0.03s  1.99%  github.com/wago-org/wago/src/wago.(*instanceBuilder).instantiate
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/wago.(*instanceBuilder).validateCompiled
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/wago.(*pluginCallGate).wrap.func1
         0     0%   100%      0.02s  1.32%  github.com/wago-org/wago/src/wago.(*referenceStore).registerInstance
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/wago.(*registeredImport).key (inline)
         0     0%   100%      0.02s  1.32%  github.com/wago-org/wago/src/wago.DefinitionDigest
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/wago.callHookSafely (inline)
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/wago.callSafely
         0     0%   100%      0.04s  2.65%  github.com/wago-org/wago/src/wago.canonicalPluginDefinition
         0     0%   100%      0.46s 30.46%  github.com/wago-org/wago/src/wago.compileWithConfigAndInstructions
         0     0%   100%      0.46s 30.46%  github.com/wago-org/wago/src/wago.compileWithFrontendFeaturesAndInstructions
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/wago.definitionDigestCanonical
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/wago.dispatchSyncHostScalar
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/wago.exactFuncSignature
         0     0%   100%      0.02s  1.32%  github.com/wago-org/wago/src/wago.freezeDefinition (inline)
         0     0%   100%      0.03s  1.99%  github.com/wago-org/wago/src/wago.instantiateCoreWithModuleLease
         0     0%   100%      0.03s  1.99%  github.com/wago-org/wago/src/wago.instantiateCoreWithModuleUse
         0     0%   100%      0.41s 27.15%  github.com/wago-org/wago/src/wago.railshotCompileModuleWith
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/wago.registerPlan
         0     0%   100%      0.04s  2.65%  github.com/wago-org/wago/src/wago.validateConfigSchema
         0     0%   100%      0.03s  1.99%  github.com/wago-org/wago/src/wago.validateImmutablePlan
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/wago.validatePluginCommitConflicts
         0     0%   100%      0.04s  2.65%  github.com/wago-org/wago/src/wago.validatePluginDefinition
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/wago.validateRegistration
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/wago.withPluginHookError
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wasi/internal/core.(*Plugin).bindings.func1
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wasi/internal/core.(*Plugin).bindings.func1.1
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wasi/internal/core.(*Plugin).environSizesGet
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wasi/internal/core.(*Plugin).withFS
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wasi/internal/core.putLe32 (inline)
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wasi/internal/core.writeCounts (inline)
         0     0%   100%      0.01s  0.66%  internal/runtime/maps.(*Map).growToSmall
         0     0%   100%      0.01s  0.66%  internal/runtime/maps.newGroups (inline)
         0     0%   100%      0.01s  0.66%  internal/runtime/maps.newarray
         0     0%   100%      0.01s  0.66%  reflect.Value.MapIndex
         0     0%   100%      0.01s  0.66%  reflect.Value.SetMapIndex
         0     0%   100%      0.01s  0.66%  reflect.mapassign_faststr
         0     0%   100%      0.01s  0.66%  reflect.mapassign_faststr0
         0     0%   100%      0.01s  0.66%  runtime.(*inlineUnwinder).resolveInternal (inline)
         0     0%   100%      0.01s  0.66%  runtime.(*mcache).prepareForSweep
         0     0%   100%      0.01s  0.66%  runtime.(*mcache).releaseAll
         0     0%   100%      0.01s  0.66%  runtime.(*mcentral).uncacheSpan
         0     0%   100%      0.01s  0.66%  runtime.(*spanSet).push
         0     0%   100%      0.01s  0.66%  runtime.(*sweepLocked).sweep
         0     0%   100%      0.91s 60.26%  runtime._System
         0     0%   100%      0.01s  0.66%  runtime.callers
         0     0%   100%      0.01s  0.66%  runtime.callers.func1
         0     0%   100%      0.01s  0.66%  runtime.concatstring3
         0     0%   100%      0.01s  0.66%  runtime.concatstrings
         0     0%   100%      0.01s  0.66%  runtime.forEachP (inline)
         0     0%   100%      0.01s  0.66%  runtime.forEachP.func1
         0     0%   100%      0.01s  0.66%  runtime.forEachPInternal
         0     0%   100%      0.01s  0.66%  runtime.gcBgMarkWorker
         0     0%   100%      0.01s  0.66%  runtime.gcMarkDone
         0     0%   100%      0.01s  0.66%  runtime.gcMarkTermination
         0     0%   100%      0.01s  0.66%  runtime.gcMarkTermination.func4
         0     0%   100%      0.02s  1.32%  runtime.mProf_Malloc
         0     0%   100%      0.02s  1.32%  runtime.mallocgc
         0     0%   100%      0.01s  0.66%  runtime.mallocgcSmallNoScanSC5
         0     0%   100%      0.01s  0.66%  runtime.mallocgcSmallScanNoHeader
         0     0%   100%      0.01s  0.66%  runtime.newInlineUnwinder
         0     0%   100%      0.01s  0.66%  runtime.newarray
         0     0%   100%      0.01s  0.66%  runtime.pcdatavalue1
         0     0%   100%      0.01s  0.66%  runtime.pcvalue
         0     0%   100%      0.02s  1.32%  runtime.profilealloc
         0     0%   100%      0.01s  0.66%  runtime.rawstring (inline)
         0     0%   100%      0.01s  0.66%  runtime.rawstringtmp
         0     0%   100%      0.02s  1.32%  runtime.systemstack
         0     0%   100%      0.01s  0.66%  runtime.tracebackPCs
         0     0%   100%      0.01s  0.66%  sync.(*Once).Do (inline)
         0     0%   100%      0.01s  0.66%  sync.(*Once).doSlow
         0     0%   100%      0.01s  0.66%  testing.(*B).Run
         0     0%   100%      0.01s  0.66%  testing.(*B).run
         0     0%   100%      0.59s 39.07%  testing.(*B).run1.func1
         0     0%   100%      0.59s 39.07%  testing.(*B).runN
         0     0%   100%      0.01s  0.66%  testing.(*benchState).processBench
         0     0%   100%      0.01s  0.66%  testing.BenchmarkResult.String
         0     0%   100%      0.01s  0.66%  testing.prettyPrint
         0     0%   100%      0.01s  0.66%  wagobench.BenchmarkPluginExec
         0     0%   100%      0.58s 38.41%  wagobench.BenchmarkPluginExec.func1
         0     0%   100%      0.54s 35.76%  wagobench.compilePluginCorpus
         0     0%   100%      0.02s  1.32%  wagobench.pluginSet
         0     0%   100%      0.01s  0.66%  wagobench.runPluginWorkload
