# round 1
goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=1/full/public/requested=4-16      	     100	   1170559 ns/op	         4.000 backend-worker-limit	     16651 body-bytes	         1.000 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         4.000 phase-input-workers	         4.000 requested-workers	         4.000 validation-worker-limit	  612616 B/op	     659 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=4/full/public/requested=0-16      	     211	    587126 ns/op	         4.000 backend-worker-limit	     16651 body-bytes	         4.000 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         4.000 phase-input-workers	         0 requested-workers	         4.000 validation-worker-limit	  613503 B/op	     662 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=4/full/public/requested=1-16      	     212	    537064 ns/op	         1.000 backend-worker-limit	     16651 body-bytes	         4.000 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         1.000 phase-input-workers	         1.000 requested-workers	         1.000 validation-worker-limit	  307487 B/op	     413 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=4/full/public/requested=2-16      	     216	    549050 ns/op	         2.000 backend-worker-limit	     16651 body-bytes	         4.000 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         2.000 phase-input-workers	         2.000 requested-workers	         2.000 validation-worker-limit	  492860 B/op	     525 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=4/full/public/requested=4-16      	     210	    588112 ns/op	         4.000 backend-worker-limit	     16651 body-bytes	         4.000 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         4.000 phase-input-workers	         4.000 requested-workers	         4.000 validation-worker-limit	  613801 B/op	     663 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=16/full/public/requested=0-16     	     284	    398197 ns/op	         4.000 backend-worker-limit	     16651 body-bytes	        16.00 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         4.000 phase-input-workers	         0 requested-workers	         4.000 validation-worker-limit	  620846 B/op	     647 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=16/full/public/requested=1-16     	     408	    344775 ns/op	         1.000 backend-worker-limit	     16651 body-bytes	        16.00 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         1.000 phase-input-workers	         1.000 requested-workers	         1.000 validation-worker-limit	  306913 B/op	     412 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=16/full/public/requested=2-16     	     336	    365723 ns/op	         2.000 backend-worker-limit	     16651 body-bytes	        16.00 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         2.000 phase-input-workers	         2.000 requested-workers	         2.000 validation-worker-limit	  497420 B/op	     520 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=16/full/public/requested=4-16     	     302	    412968 ns/op	         4.000 backend-worker-limit	     16651 body-bytes	        16.00 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         4.000 phase-input-workers	         4.000 requested-workers	         4.000 validation-worker-limit	  620841 B/op	     645 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/callers=1/full/public/requested=0-16          	      13	   9522718 ns/op	         4.000 backend-worker-limit	    176047 body-bytes	         1.000 callers	       359.0 functions	        16.00 gomaxprocs	     20934 largest-body-bytes	         4.000 phase-input-workers	         0 requested-workers	         4.000 validation-worker-limit	 3918102 B/op	    2166 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/callers=1/full/public/requested=1-16          	       7	  15276459 ns/op	         1.000 backend-worker-limit	    176047 body-bytes	         1.000 callers	       359.0 functions	        16.00 gomaxprocs	     20934 largest-body-bytes	         1.000 phase-input-workers	         1.000 requested-workers	         1.000 validation-worker-limit	 2271532 B/op	    1533 allocs/op
