# round 1
goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkWorkerLifecycleDiagnostic/many_funcs/callers=16/backend/raw/requested=2-16   	    1489	     84251 ns/op	         2.000 backend-worker-limit	      2053 body-bytes	        16.00 callers	       301.0 functions	        16.00 gomaxprocs	        17.00 largest-body-bytes	         2.000 phase-input-workers	         2.000 requested-workers	  145370 B/op	      56 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/callers=16/backend/raw/requested=4-16   	    1280	     88962 ns/op	         4.000 backend-worker-limit	      2053 body-bytes	        16.00 callers	       301.0 functions	        16.00 gomaxprocs	        17.00 largest-body-bytes	         4.000 phase-input-workers	         4.000 requested-workers	  193442 B/op	      81 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=1/validate/raw/requested=0-16      	     590	    186322 ns/op	     16651 body-bytes	         1.000 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         0 phase-input-workers	         0 requested-workers	         1.000 validation-worker-limit	    7600 B/op	      48 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=1/validate/raw/requested=1-16      	     636	    180669 ns/op	     16651 body-bytes	         1.000 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         1.000 phase-input-workers	         1.000 requested-workers	         1.000 validation-worker-limit	    7600 B/op	      48 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=1/validate/raw/requested=2-16      	     892	    115667 ns/op	     16651 body-bytes	         1.000 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         2.000 phase-input-workers	         2.000 requested-workers	         2.000 validation-worker-limit	   10781 B/op	      59 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=1/validate/raw/requested=4-16      	    1578	     81117 ns/op	     16651 body-bytes	         1.000 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         4.000 phase-input-workers	         4.000 requested-workers	         4.000 validation-worker-limit	   15733 B/op	      74 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=1/backend/raw/requested=0-16       	     126	    933707 ns/op	         1.000 backend-worker-limit	     16651 body-bytes	         1.000 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         0 phase-input-workers	         0 requested-workers	  133816 B/op	     126 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=1/backend/raw/requested=1-16       	     128	    929844 ns/op	         1.000 backend-worker-limit	     16651 body-bytes	         1.000 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         1.000 phase-input-workers	         1.000 requested-workers	  133816 B/op	     126 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=1/backend/raw/requested=2-16       	     177	    685089 ns/op	         2.000 backend-worker-limit	     16651 body-bytes	         1.000 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         2.000 phase-input-workers	         2.000 requested-workers	  407435 B/op	     230 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=1/backend/raw/requested=4-16       	     218	    592676 ns/op	         4.000 backend-worker-limit	     16651 body-bytes	         1.000 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         4.000 phase-input-workers	         4.000 requested-workers	  525799 B/op	     363 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=4/validate/raw/requested=0-16      	    2401	     51092 ns/op	     16651 body-bytes	         4.000 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         0 phase-input-workers	         0 requested-workers	         1.000 validation-worker-limit	    7600 B/op	      48 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=4/validate/raw/requested=1-16      	    2522	     51209 ns/op	     16651 body-bytes	         4.000 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         1.000 phase-input-workers	         1.000 requested-workers	         1.000 validation-worker-limit	    7600 B/op	      48 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=4/validate/raw/requested=2-16      	    3196	     41065 ns/op	     16651 body-bytes	         4.000 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         2.000 phase-input-workers	         2.000 requested-workers	         2.000 validation-worker-limit	   10778 B/op	      59 allocs/op
