# sample 1
init internal/bytealg @0.002 ms, 0 ms clock, 0 bytes, 0 allocs
init internal/runtime/gc/scan @0.012 ms, 0 ms clock, 0 bytes, 0 allocs
init runtime @0.022 ms, 0.040 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140deps/cpu @0.21 ms, 0.003 ms clock, 0 bytes, 0 allocs
init math @0.23 ms, 0.002 ms clock, 0 bytes, 0 allocs
init errors @0.24 ms, 0 ms clock, 0 bytes, 0 allocs
init iter @0.24 ms, 0.005 ms clock, 16 bytes, 1 allocs
init sync @0.25 ms, 0 ms clock, 0 bytes, 0 allocs
init internal/godebug @0.26 ms, 0.019 ms clock, 5944 bytes, 111 allocs
init encoding/base32 @0.29 ms, 0.003 ms clock, 640 bytes, 2 allocs
init encoding/base64 @0.30 ms, 0.003 ms clock, 1408 bytes, 4 allocs
init crypto @0.30 ms, 0 ms clock, 176 bytes, 1 allocs
init hash/crc32 @0.31 ms, 0.009 ms clock, 1152 bytes, 5 allocs
init syscall @0.33 ms, 0.005 ms clock, 1536 bytes, 5 allocs
init time @0.34 ms, 0 ms clock, 256 bytes, 2 allocs
init context @0.34 ms, 0 ms clock, 112 bytes, 1 allocs
init internal/poll @0.35 ms, 0.003 ms clock, 72 bytes, 2 allocs
init io/fs @0.36 ms, 0.002 ms clock, 0 bytes, 0 allocs
init os @0.36 ms, 0.007 ms clock, 448 bytes, 9 allocs
init os/signal @0.38 ms, 0.002 ms clock, 0 bytes, 0 allocs
init unicode @0.38 ms, 0.008 ms clock, 11400 bytes, 16 allocs
init reflect @0.40 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/core/runtime/gc/native @0.40 ms, 0.009 ms clock, 6952 bytes, 11 allocs
init go/token @0.42 ms, 0.003 ms clock, 984 bytes, 4 allocs
init compress/flate @0.43 ms, 0.003 ms clock, 216 bytes, 6 allocs
init compress/gzip @0.44 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140 @0.45 ms, 0.003 ms clock, 320 bytes, 8 allocs
init crypto/internal/fips140/sha3 @0.46 ms, 0.002 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/sha256 @0.46 ms, 0 ms clock, 144 bytes, 2 allocs
init crypto/internal/fips140/sha512 @0.47 ms, 0.001 ms clock, 192 bytes, 1 allocs
init crypto/internal/fips140/hmac @0.48 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/check @0.48 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/fips140 @0.49 ms, 0 ms clock, 48 bytes, 1 allocs
init crypto/internal/fips140/aes @0.49 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/drbg @0.50 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/aes/gcm @0.51 ms, 0 ms clock, 400 bytes, 2 allocs
init crypto/sha256 @0.51 ms, 0 ms clock, 0 bytes, 0 allocs
init debug/dwarf @0.52 ms, 0.022 ms clock, 8032 bytes, 16 allocs
init encoding/json/jsontext @0.55 ms, 0.005 ms clock, 0 bytes, 0 allocs
init encoding/json/v2 @0.56 ms, 0.005 ms clock, 408 bytes, 15 allocs
init encoding/json @0.57 ms, 0.006 ms clock, 224 bytes, 2 allocs
init flag @0.58 ms, 0 ms clock, 128 bytes, 2 allocs
init github.com/tetratelabs/wazero/internal/platform @0.58 ms, 0.021 ms clock, 11064 bytes, 20 allocs
init github.com/wago-org/wago/internal/jsonstrict @0.62 ms, 0.003 ms clock, 48 bytes, 1 allocs
init github.com/wago-org/wago/src/core/compiler/wasm @0.63 ms, 0.015 ms clock, 0 bytes, 0 allocs
