bounds	benchmark	unit	base_median	candidate_median	delta_percent	p	base_n	candidate_n	status
explicit	BenchmarkCompile/xjb-mulhi	allocs/op	24	24	0	1	6	6	paired
explicit	BenchmarkCompile/swar-pack-parse	ns/op	15686	13014.5	-17.031110544434526	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/swar-pack-parse	B/op	23600	12080	-48.813559322033896	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/swar-pack-parse	allocs/op	23	23	0	1	6	6	paired
explicit	BenchmarkCompile/json-as-simd	ns/op	1052704	900511.5	-14.457292838252734	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/json-as-simd	B/op	136976	137648	0.49059689288635244	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/json-as-simd	allocs/op	152	152	0	1	6	6	paired
explicit	BenchmarkCompile/blake-as-simd	ns/op	875234.5	750528	-14.248352870002268	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/blake-as-simd	B/op	273784	273936	0.05551821874179019	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/blake-as-simd	allocs/op	114	113	-0.8771929824561431	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/utf-as-simd	ns/op	366703	297341	-18.915034782916962	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/utf-as-simd	B/op	125680	125576	-0.08274984086569237	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/utf-as-simd	allocs/op	106	104	-1.8867924528301883	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/coremark	ns/op	527940	424723	-19.55089593514414	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/coremark	B/op	247240	247224	-0.006471444750044686	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/coremark	allocs/op	102	102	0	1	6	6	paired
explicit	BenchmarkCompile/blake3	ns/op	839189.5	692494.5	-17.48055713280493	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/blake3	B/op	136840	136808	-0.02338497515346205	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/blake3	allocs/op	105	105	0	1	6	6	paired
explicit	BenchmarkCompile/qoi	ns/op	146514.5	118030.5	-19.441079210590072	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/qoi	B/op	66320	66288	-0.04825090470446103	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/qoi	allocs/op	97	97	0	1	6	6	paired
explicit	BenchmarkCompile/lz4	ns/op	111817.5	91930	-17.785677554944446	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/lz4	B/op	61432	61416	-0.02604505795025247	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/lz4	allocs/op	62	62	0	1	6	6	paired
explicit	BenchmarkCompile/zlib	ns/op	837742	725106	-13.445189569103611	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/zlib	B/op	298952	298936	-0.0053520297572884346	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/zlib	allocs/op	171	171	0	1	6	6	paired
explicit	BenchmarkCompile/zstd	ns/op	3236056	2658939.5	-17.833946631331475	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/zstd	B/op	1031064	1031056	-0.0007758975194560591	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/zstd	allocs/op	231	233	0.8658008658008587	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/lua	ns/op	16273295.5	13444169	-17.385086505680427	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/lua	B/op	745920	742680	-0.4343629343629307	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/lua	allocs/op	754	754	0	1	6	6	paired
explicit	BenchmarkCompile/sqlite3	ns/op	63428677.5	52842956.5	-16.68917186551777	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/sqlite3	B/op	2140768	2126488	-0.6670503296013375	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/sqlite3	allocs/op	2528	2530	0.07911392405062223	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/ruby	ns/op	681373453	515570482.5	-24.333641084781156	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/ruby	B/op	15347728	14014576	-8.686315003758216	0.0021645021645021645	6	6	paired
