stage,bounds,benchmark,engine,kind,unit,main_median,branch_median,absolute_increase,increase_percent,p,unadjusted_p_below_005,samples_each,benchtime,note
full screen,signals,BenchmarkWazeroExec/utf-as-simd.validateN,wazero,time,ns/op,179267,182602,3335,1.8603535508487257,0.3939393939393939,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroCompile/matmul,wazero,time,ns/op,316911.5,320123.5,3212,1.0135321690756038,0.025974025974025976,true,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroInstantiate/qoi,wazero,time,ns/op,83542,86700.5,3158.5,3.7807330444566745,0.04112554112554113,true,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroInstantiate/sha256,wazero,time,ns/op,48363.5,51404.5,3041,6.287799683645723,0.04112554112554113,true,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/spectralnorm.run,wazero,time,ns/op,902561.5,905442.5,2881,0.3192026249734692,0.17965367965367965,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroInstantiate/crc32,wazero,time,ns/op,49113.5,51897.5,2784,5.668502550215315,0.09307359307359307,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/blake-as-simd.hashN,wazero,time,ns/op,502725,505503,2778,0.5525883932567588,0.3939393939393939,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroCompile/xjb-mulhi,wazero,time,ns/op,77577.5,80344,2766.5,3.566111308046782,0.30952380952380953,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroInstantiate/sha256,wazero,time,ns/op,49728,52367,2639,5.306869369369371,0.008658008658008658,true,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroCompile/memory_tree,wazero,time,ns/op,85462,88077,2615,3.0598394608129853,0.025974025974025976,true,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
