stage,bounds,benchmark,engine,kind,unit,main_median,branch_median,absolute_increase,increase_percent,p,unadjusted_p_below_005,samples_each,benchtime,note
full screen,signals,BenchmarkExec/isa_simd_i8x16.lt_s,wago,time,ns/op,1709.5,1723,13.5,0.7897045919859513,0.512987012987013,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExec/isa_simd_i8x16.lt_u,wago,time,ns/op,4921.5,4935,13.5,0.27430661383724964,0.9372294372294372,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExecParallel/process/isa_cvt.i64_extend_s,wago,time,ns/op,1775,1788.5,13.5,0.760563380281698,0.7316017316017316,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkInstantiate/mandelbrot,wago,time,ns/op,3193,3206.5,13.5,0.42279987472595426,0.8181818181818182,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_simd_f64x2.eq,wazero,time,ns/op,3264,3277.5,13.5,0.4136029411764719,0.4155844155844156,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_simd_i16x8.avgr_u,wazero,time,ns/op,3251.5,3265,13.5,0.4151929878517535,0.854978354978355,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExec/isa_f64.min,wago,time,ns/op,30226,30239,13,0.04300932971614824,0.8181818181818182,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExec/isa_i64.xor,wago,time,ns/op,13044.5,13057.5,13,0.09965886005596225,0.8484848484848485,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExec/isa_simd_i32x4.extadd_pairwise_u,wago,time,ns/op,4030.5,4043.5,13,0.3225406277136855,0.9372294372294372,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExec/isa_simd_i64x2.mul,wago,time,ns/op,11431,11444,13,0.11372583326043628,0.8181818181818182,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExec/isa_simd_i8x16.max_u,wago,time,ns/op,1644.5,1657.5,13,0.7905138339920903,0.8593073593073594,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkExec/isa_simd_reduce.v128_any_true,wago,time,ns/op,1745.5,1758.5,13,0.7447722715554272,0.04112554112554113,true,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkExec/qoi.qoi_decode_run,wago,time,ns/op,5730.5,5743.5,13,0.22685629526220108,0.9372294372294372,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkExecParallel/independent/isa_simd_i32x4.extmul_high_s,wago,time,ns/op,1122.5,1135.5,13,1.158129175946554,0.13852813852813853,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkExecParallel/process/isa_simd_i8x16.sub_sat_s,wago,time,ns/op,3936.5,3949.5,13,0.3302426012955717,0.9372294372294372,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkWazeroExec/isa_i32.add,wazero,time,ns/op,13052.5,13065.5,13,0.09959777820340854,0.8528138528138528,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_simd_f32x4.abs,wazero,time,ns/op,1305,1318,13,0.9961685823754785,0.48484848484848486,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_simd_i32x4.shr_u,wazero,time,ns/op,2174.5,2187.5,13,0.5978385835824218,0.7294372294372294,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/xjb-mulhi.runN,wazero,time,ns/op,2178.5,2191.5,13,0.596740876750057,0.5887445887445888,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExecParallel/independent/isa_simd_i64x2.extend_low_u,wago,time,ns/op,184.2,197.14999999999998,12.949999999999989,7.03040173724212,0.24025974025974026,false,6,100ms,"Throughput time, not one-call latency."
full screen,explicit,BenchmarkExec/isa_mem.store_i64,wago,time,ns/op,7979,7991.5,12.5,0.15666123574382684,0.48484848484848486,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkExec/isa_simd_i16x8.narrow_i32x4_u,wago,time,ns/op,3328.5,3341,12.5,0.3755445395823953,0.48484848484848486,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExec/lz4.lz4_decompress_run,wago,time,ns/op,3028,3040.5,12.5,0.41281373844122005,0.30952380952380953,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExecParallel/independent/isa_simd_f32x4.convert_i32x4_u,wago,time,ns/op,1224,1236.5,12.5,1.0212418300653558,0.13203463203463203,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkExecParallel/independent/isa_simd_f64x2.div,wago,time,ns/op,2857.5,2870,12.5,0.43744531933507247,0.06493506493506493,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkExecParallel/process/isa_simd_f64x2.neg,wago,time,ns/op,1845,1857.5,12.5,0.6775067750677488,1,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkWazeroExec/isa_simd_reduce.i32x4_all_true,wazero,time,ns/op,1893.5,1906,12.5,0.6601531555320728,0.29004329004329005,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_simd_reduce.i8x16_bitmask,wazero,time,ns/op,1348,1360.5,12.5,0.927299703264084,0.6991341991341992,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkExec/isa_simd_i64x2.extmul_low_u,wago,time,ns/op,6552,6564,12,0.1831501831501825,0.5541125541125541,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkExecParallel/process/isa_simd_i16x8.extadd_pairwise_u,wago,time,ns/op,2897,2909,12,0.4142216085605721,0.48484848484848486,false,6,100ms,"Throughput time, not one-call latency."
full screen,explicit,BenchmarkWazeroExec/isa_bulk_mem.copy_fwd_4096,wazero,time,ns/op,7155,7167,12,0.16771488469602414,1,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/isa_f32.min,wazero,time,ns/op,19215.5,19227.5,12,0.062449584970458716,0.6991341991341992,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/isa_simd_i16x8.lt_s,wazero,time,ns/op,2098,2110,12,0.5719733079122991,0.5887445887445888,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExec/globals.accumulate,wago,time,ns/op,840.1,851.95,11.850000000000023,1.4105463635281534,0.24025974025974026,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkExecParallel/independent/swar-pack-parse.runN,wago,time,ns/op,270.25,282.1,11.850000000000023,4.384828862164669,0.24025974025974026,false,6,100ms,"Throughput time, not one-call latency."
full screen,explicit,BenchmarkExecParallel/process/isa_simd_i64x2.ge_s,wago,time,ns/op,678.25,689.85,11.600000000000023,1.7102838186509484,0.13203463203463203,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkExec/isa_simd_f32x4.ceil,wago,time,ns/op,2537.5,2549,11.5,0.4532019704433399,0.6666666666666666,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExec/isa_simd_i16x8.extmul_low_u,wago,time,ns/op,6516.5,6528,11.5,0.1764751016650079,0.8181818181818182,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExec/isa_simd_i32x4.gt_u,wago,time,ns/op,4912,4923.5,11.5,0.2341205211726427,0.6666666666666666,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkExec/isa_simd_i8x16.swizzle,wago,time,ns/op,6599.5,6611,11.5,0.17425562542616735,0.4155844155844156,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkExecParallel/independent/isa_simd_f32x4.max,wago,time,ns/op,1391,1402.5,11.5,0.8267433501078392,0.25757575757575757,false,6,100ms,"Throughput time, not one-call latency."
full screen,explicit,BenchmarkExecParallel/independent/isa_simd_i16x8.extmul_high_s,wago,time,ns/op,1109,1120.5,11.5,1.0369702434625871,0.24242424242424243,false,6,100ms,"Throughput time, not one-call latency."
full screen,explicit,BenchmarkExecParallel/process/isa_i64.ctz,wago,time,ns/op,1840,1851.5,11.5,0.6250000000000089,0.3939393939393939,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkExecParallel/process/isa_simd_i32x4.ge_u,wago,time,ns/op,3939.5,3951,11.5,0.29191521766722683,0.48484848484848486,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkInstantiate/isa_simd_i16x8,wago,time,ns/op,3249,3260.5,11.5,0.35395506309634506,0.6991341991341992,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/isa_simd_i16x8.shl,wazero,time,ns/op,2171,2182.5,11.5,0.5297098111469278,0.5735930735930735,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroInstantiate/arith,wazero,time,ns/op,7445,7456.5,11.5,0.15446608462055256,0.48484848484848486,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExecParallel/independent/isa_simd_i16x8.gt_u,wago,time,ns/op,687.6,698.9,11.299999999999955,1.6433973240255861,0.04112554112554113,true,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkExecParallel/independent/isa_f32.min,wago,time,ns/op,4700,4711,11,0.23404255319148248,0.9372294372294372,false,6,100ms,"Throughput time, not one-call latency."
full screen,explicit,BenchmarkExecParallel/process/isa_i32.popcnt,wago,time,ns/op,1850.5,1861.5,11,0.5944339367738527,0.9372294372294372,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkExecParallel/process/isa_i64.clz,wago,time,ns/op,14249,14260,11,0.07719839988771238,1,false,6,100ms,"Throughput time, not one-call latency."
full screen,explicit,BenchmarkExecParallel/process/isa_simd_f64x2.div,wago,time,ns/op,2860.5,2871.5,11,0.38454815591679736,0.6991341991341992,false,6,100ms,"Throughput time, not one-call latency."
full screen,explicit,BenchmarkExecParallel/process/isa_simd_i64x2.mul,wago,time,ns/op,1585,1596,11,0.6940063091482651,0.7857142857142857,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkWazeroExec/isa_simd_i32x4.dot,wazero,time,ns/op,4885.5,4896.5,11,0.2251560740968106,0.22294372294372294,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkExecParallel/independent/isa_simd_i32x4.trunc_sat_f64x2_s_zero,wago,time,ns/op,916.6500000000001,927.4,10.749999999999886,1.1727485954289962,0.24025974025974026,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkWazeroExec/globals.accumulate,wazero,time,ns/op,862.0999999999999,872.8,10.700000000000045,1.2411553184085378,0.30952380952380953,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkExec/isa_simd_i8x16.gt_s,wago,time,ns/op,1695,1705.5,10.5,0.6194690265486802,0.6991341991341992,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExecParallel/independent/isa_mem.store_i32_stride,wago,time,ns/op,1665.5,1676,10.5,0.6304413089162519,0.8181818181818182,false,6,100ms,"Throughput time, not one-call latency."
full screen,explicit,BenchmarkWazeroExec/isa_simd_i64x2.abs,wazero,time,ns/op,2111.5,2122,10.5,0.4972768174283715,0.9372294372294372,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/isa_simd_i64x2.sub,wazero,time,ns/op,1633,1643.5,10.5,0.6429883649724522,0.2878787878787879,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/isa_var.global_getset,wazero,time,ns/op,6645,6655.5,10.5,0.15801354401805412,0.8181818181818182,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExecParallel/process/isa_simd_i16x8.lt_u,wago,time,ns/op,689.45,699.55,10.099999999999909,1.4649358184059658,0.30952380952380953,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkExec/isa_simd_f64x2.floor,wago,time,ns/op,2507,2517,10,0.398883127243721,0.45670995670995673,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkExec/isa_simd_i64x2.ge_s,wago,time,ns/op,4948.5,4958.5,10,0.20208143881983442,0.5887445887445888,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExec/isa_simd_i8x16.ge_u,wago,time,ns/op,3282,3292,10,0.30469226081657474,0.7878787878787878,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExec/isa_simd_i8x16.le_s,wago,time,ns/op,3300,3310,10,0.3030303030302939,0.9372294372294372,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExecParallel/process/isa_f32.mul,wago,time,ns/op,5196.5,5206.5,10,0.1924372173578437,0.33116883116883117,false,6,100ms,"Throughput time, not one-call latency."
full screen,explicit,BenchmarkInstantiate/isa_f64,wago,time,ns/op,1402,1412,10,0.7132667617689048,0.8181818181818182,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_simd_i16x8.add,wazero,time,ns/op,1637,1647,10,0.6108735491753281,0.5887445887445888,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_simd_i16x8.eq,wazero,time,ns/op,1642.5,1652.5,10,0.60882800608828,1,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_simd_i16x8.extmul_low_u,wazero,time,ns/op,8115,8125,10,0.12322858903266454,0.8181818181818182,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroInstantiate/isa_simd_reduce,wazero,time,ns/op,7692.5,7702.5,10,0.12999675008125156,0.9372294372294372,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkExecParallel/independent/isa_simd_i16x8.lt_u,wago,time,ns/op,698.95,708.7,9.75,1.3949495672079593,0.025974025974025976,true,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkExecParallel/independent/isa_simd_i8x16.swizzle,wago,time,ns/op,894.2,903.75,9.549999999999955,1.0679937374189263,0.30952380952380953,false,6,100ms,"Throughput time, not one-call latency."
full screen,explicit,BenchmarkExecCommuteSelfUpdate/json-as.deserializeN/off,wago,time,ns/op,40776,40785.5,9.5,0.02329801844223045,1,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkExecParallel/independent/isa_f64.add,wago,time,ns/op,5142,5151.5,9.5,0.18475301439129233,0.5584415584415584,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkExecParallel/independent/isa_i64.mul,wago,time,ns/op,5212,5221.5,9.5,0.18227168073676747,0.2554112554112554,false,6,100ms,"Throughput time, not one-call latency."
full screen,explicit,BenchmarkExecParallel/process/isa_i64.shl,wago,time,ns/op,1986,1995.5,9.5,0.478348439073506,0.5887445887445888,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkWazeroExec/isa_i64.or,wazero,time,ns/op,12998,13007.5,9.5,0.07308816741036228,1,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_simd_f32x4.sqrt,wazero,time,ns/op,11417.5,11427,9.5,0.08320560543026989,1,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/isa_simd_f64x2.eq,wazero,time,ns/op,3252.5,3262,9.5,0.29208301306686835,0.41774891774891776,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_simd_i32x4.shr_s,wazero,time,ns/op,2171,2180.5,9.5,0.4375863657300805,0.7316017316017316,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/isa_simd_reduce.i64x2_all_true,wazero,time,ns/op,1886,1895.5,9.5,0.5037115588547136,0.3939393939393939,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_simd_v128.andnot,wazero,time,ns/op,2096,2105.5,9.5,0.4532442748091503,0.25757575757575757,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/swar-pack-parse.runN,wazero,time,ns/op,1687.5,1697,9.5,0.5629629629629651,0.48484848484848486,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkExecParallel/independent/globals.accumulate,wago,time,ns/op,151.3,160.5,9.199999999999989,6.080634500991411,0.17965367965367965,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkExec/isa_simd_f32x4.pmin,wago,time,ns/op,3320,3329,9,0.2710843373493921,0.9805194805194806,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExec/isa_simd_i8x16.shr_u,wago,time,ns/op,1940,1949,9,0.46391752577319423,0.5887445887445888,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExec/isa_simd_reduce.i32x4_all_true,wago,time,ns/op,1330.5,1339.5,9,0.6764374295377573,0.23593073593073594,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkExecParallel/independent/isa_f32.sub,wago,time,ns/op,5193,5202,9,0.17331022530329143,0.48484848484848486,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkExecParallel/independent/isa_simd_f32x4.neg,wago,time,ns/op,253.55,262.55,9,3.549595740485101,0.17965367965367965,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkExecParallel/independent/isa_var.local_getset,wago,time,ns/op,1868.5,1877.5,9,0.4816697886004917,0.9696969696969697,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkExecParallel/process/isa_simd_i32x4.neg,wago,time,ns/op,1447,1456,9,0.621976503109889,0.7316017316017316,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkWazeroExec/isa_simd_f64x2.sub,wazero,time,ns/op,4904,4913,9,0.18352365415987837,0.7987012987012987,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_simd_i32x4.add,wazero,time,ns/op,1637,1646,9,0.5497861942577842,0.25757575757575757,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/isa_simd_i32x4.gt_s,wazero,time,ns/op,1633.5,1642.5,9,0.5509641873278293,0.461038961038961,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_simd_reduce.i8x16_all_true,wazero,time,ns/op,1880,1889,9,0.4787234042553212,0.2597402597402597,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkInstantiate/swar-pack-parse,wago,time,ns/op,903.5,912.05,8.549999999999955,0.9463198671831652,0.9372294372294372,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExec/isa_i64.popcnt,wago,time,ns/op,13285.5,13294,8.5,0.0639795265515053,0.5887445887445888,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExec/isa_simd_f32x4.neg,wago,time,ns/op,1457,1465.5,8.5,0.5833905284831742,0.6688311688311688,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkExec/isa_simd_i16x8.extend_low_u,wago,time,ns/op,1226,1234.5,8.5,0.6933115823817282,0.5584415584415584,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkExec/isa_simd_i16x8.max_s,wago,time,ns/op,1704.5,1713,8.5,0.49867996479906473,0.9372294372294372,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkExec/isa_simd_i16x8.min_s,wago,time,ns/op,1693,1701.5,8.5,0.5020673360897732,1,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExec/isa_simd_i64x2.add,wago,time,ns/op,1649,1657.5,8.5,0.5154639175257714,0.974025974025974,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkExec/isa_simd_i64x2.extend_high_s,wago,time,ns/op,1816,1824.5,8.5,0.4680616740088128,0.6991341991341992,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkExec/isa_simd_i8x16.le_u,wago,time,ns/op,3328,3336.5,8.5,0.2554086538461453,0.5584415584415584,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExecParallel/process/isa_f64.abs,wago,time,ns/op,5279,5287.5,8.5,0.1610153438151185,0.6991341991341992,false,6,100ms,"Throughput time, not one-call latency."
full screen,explicit,BenchmarkExecParallel/process/isa_f64.add,wago,time,ns/op,5210,5218.5,8.5,0.16314779270634183,0.6688311688311688,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkExecParallel/process/isa_simd_f64x2.trunc,wago,time,ns/op,2902.5,2911,8.5,0.2928509905254062,0.5887445887445888,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkExecParallel/process/isa_simd_i16x8.extmul_high_u,wago,time,ns/op,7788.5,7797,8.5,0.10913526352955838,0.3939393939393939,false,6,100ms,"Throughput time, not one-call latency."
full screen,explicit,BenchmarkInstantiate/linked_list,wago,time,ns/op,2797.5,2806,8.5,0.30384271671135554,0.8181818181818182,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_simd_f64x2.abs,wazero,time,ns/op,1302.5,1311,8.5,0.6525911708253451,0.3658008658008658,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_simd_i16x8.add_sat_u,wazero,time,ns/op,3250.5,3259,8.5,0.26149823104137937,0.7294372294372294,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/isa_simd_i32x4.extmul_low_s,wazero,time,ns/op,8145,8153.5,8.5,0.10435850214856046,0.9372294372294372,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_simd_reduce.i16x8_bitmask,wazero,time,ns/op,1301,1309.5,8.5,0.6533435818601108,0.29004329004329005,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExecParallel/process/isa_simd_i64x2.extend_low_u,wago,time,ns/op,183.55,191.89999999999998,8.349999999999966,4.549169163715594,0.24025974025974026,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkExecParallel/independent/isa_simd_i32x4.gt_u,wago,time,ns/op,705.45,713.75,8.299999999999955,1.1765539726415808,0.9372294372294372,false,6,100ms,"Throughput time, not one-call latency."
full screen,explicit,BenchmarkExec/isa_bulk_mem.copy_back_256,wago,time,ns/op,1078,1086,8,0.7421150278293043,0.9372294372294372,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkExec/isa_ctl.if_else,wago,time,ns/op,10162,10170,8,0.0787246604998959,0.6991341991341992,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkExec/isa_simd_i8x16.shl,wago,time,ns/op,1982.5,1990.5,8,0.40353089533418096,0.9372294372294372,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkExecParallel/independent/memory_tree.run,wago,time,ns/op,1469.5,1477.5,8,0.5444028581150118,0.6991341991341992,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkExecParallel/process/isa_simd_i16x8.shr_u,wago,time,ns/op,1102.5,1110.5,8,0.7256235827664437,0.2987012987012987,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkExecParallel/process/isa_simd_i8x16.shr_u,wago,time,ns/op,2316.5,2324.5,8,0.3453485862292327,0.5064935064935064,false,6,100ms,"Throughput time, not one-call latency."
full screen,explicit,BenchmarkWazeroExec/isa_simd_f32x4.lt,wazero,time,ns/op,3243.5,3251.5,8,0.24664714043471925,0.24025974025974026,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_simd_i32x4.lt_s,wazero,time,ns/op,2102,2110,8,0.38058991436726863,0.5497835497835498,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_simd_i32x4.max_s,wazero,time,ns/op,1643.5,1651.5,8,0.4867660480681435,0.37662337662337664,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_simd_i8x16.max_u,wazero,time,ns/op,1645.5,1653.5,8,0.48617441507141645,0.6666666666666666,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExecParallel/independent/isa_simd_i32x4.extadd_pairwise_u,wago,time,ns/op,620.9,628.85,7.9500000000000455,1.2803994201964874,0.8181818181818182,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkExecParallel/independent/isa_simd_i64x2.extend_high_s,wago,time,ns/op,283.65,291.45,7.800000000000011,2.749867794817562,0.29004329004329005,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkExecParallel/independent/isa_mem.store_i32,wago,time,ns/op,967.15,974.85,7.7000000000000455,0.7961536473142683,0.30952380952380953,false,6,100ms,"Throughput time, not one-call latency."
full screen,explicit,BenchmarkExecParallel/independent/isa_simd_i64x2.le_s,wago,time,ns/op,673.15,680.6500000000001,7.500000000000114,1.1141647478273953,0.8181818181818182,false,6,100ms,"Throughput time, not one-call latency."
full screen,signals,BenchmarkExec/isa_i32.or,wago,time,ns/op,13111.5,13119,7.5,0.05720169317011692,0.8181818181818182,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExec/isa_simd_i16x8.max_s,wago,time,ns/op,1646.5,1654,7.5,0.45551169146673676,0.16666666666666666,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkExec/isa_simd_i16x8.sub_sat_u,wago,time,ns/op,3273.5,3281,7.5,0.2291125706430419,0.6991341991341992,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
