run,bounds,benchmark,unit,main,after,absolute_change,change_percent,p,samples_each
"full","explicit","BenchmarkCompileFull/nbody","allocs/op",154,156,2,1.298701298701288,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/spectralnorm","allocs/op",147,149,2,1.3605442176870763,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/fannkuch","allocs/op",166,168,2,1.2048192771084265,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/matmul","allocs/op",149,151,2,1.342281879194629,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/quicksort","allocs/op",174,176,2,1.1494252873563315,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/crc32","allocs/op",133,135,2,1.5037593984962516,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/sha256","allocs/op",157,159,2,1.273885350318471,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/raytrace","allocs/op",185,187,2,1.08108108108107,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/json-as","allocs/op",405,407,2,0.49382716049382047,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/utf-as","allocs/op",155,157,2,1.2903225806451646,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/xjb-mulhi","allocs/op",94,96,2,2.127659574468077,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/swar-pack-parse","allocs/op",92,94,2,2.1739130434782705,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/json-as-simd","allocs/op",437,439,2,0.4576659038901587,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/coremark","allocs/op",203,205,2,0.9852216748768461,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/blake3","allocs/op",257,259,2,0.7782101167315147,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/qoi","allocs/op",202,204,2,0.990099009900991,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/lz4","allocs/op",154,156,2,1.298701298701288,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/zlib","allocs/op",312,314,2,0.6410256410256387,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/isa_i32","allocs/op",135,137,2,1.4814814814814836,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/isa_i64","allocs/op",135,137,2,1.4814814814814836,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/isa_f32","allocs/op",129,131,2,1.5503875968992276,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/isa_f64","allocs/op",129,131,2,1.5503875968992276,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/isa_mem","allocs/op",113,115,2,1.7699115044247815,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/isa_bulk_mem","allocs/op",106,108,2,1.8867924528301883,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/isa_ctl","allocs/op",117,119,2,1.7094017094017033,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/isa_call","allocs/op",149,151,2,1.342281879194629,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/isa_var","allocs/op",93,95,2,2.1505376344086002,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/isa_cvt","allocs/op",96,98,2,2.083333333333326,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/isa_simd_v128","allocs/op",97,99,2,2.0618556701030855,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/isa_simd_i8x16","allocs/op",163,165,2,1.2269938650306678,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/isa_simd_i16x8","allocs/op",175,177,2,1.1428571428571344,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/isa_simd_i32x4","allocs/op",170,172,2,1.17647058823529,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/isa_simd_i64x2","allocs/op",133,135,2,1.5037593984962516,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/isa_simd_f32x4","allocs/op",139,141,2,1.4388489208633004,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/isa_simd_f64x2","allocs/op",138,140,2,1.449275362318847,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/isa_simd_reduce","allocs/op",107,109,2,1.869158878504673,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFullWorkers/tiny/p1","allocs/op",74,76,2,2.7027027027026973,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFullWorkers/tiny/auto","allocs/op",74,76,2,2.7027027027026973,0.0021645021645021645,6
