bounds,benchmark,engine,unit,main_median,after_median,change_percent,p,main_samples,after_samples,measurement,status
explicit,BenchmarkCompile/lz4,wago,B/op,61432,61416,-0.02604505795025247,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/lz4,wago,allocs/op,62,62,0,1,6,6,reported,paired
explicit,BenchmarkCompile/zlib,wago,ns/op,846538,721169,-14.80961279942542,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/zlib,wago,B/op,298952,298936,-0.0053520297572884346,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/zlib,wago,allocs/op,171,171,0,1,6,6,reported,paired
explicit,BenchmarkCompile/zstd,wago,ns/op,3224627.5,2699318,-16.29054828813561,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/zstd,wago,B/op,1031064,1031056,-0.0007758975194560591,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/zstd,wago,allocs/op,231,233,0.8658008658008587,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/lua,wago,ns/op,16452695.5,13534523,-17.73674410980256,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/lua,wago,B/op,745920,742680,-0.4343629343629307,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/lua,wago,allocs/op,754,754,0,1,6,6,reported,paired
explicit,BenchmarkCompile/sqlite3,wago,ns/op,63773118,52971410,-16.93771347356734,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/sqlite3,wago,B/op,2140768,2126488,-0.6670503296013375,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/sqlite3,wago,allocs/op,2528,2530,0.07911392405062223,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/ruby,wago,ns/op,683825733,521156820.5,-23.788065387121083,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/ruby,wago,B/op,15347728,14014576,-8.686315003758216,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/ruby,wago,allocs/op,11021,11015,-0.05444152073315056,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/esbuild,wago,ns/op,400163302,313992447.5,-21.533922293554042,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/esbuild,wago,B/op,18796328,18683880,-0.598244508182666,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/esbuild,wago,allocs/op,11041,11039,-0.018114301240834685,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_i32,wago,ns/op,198268,149967,-24.36147033308451,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_i32,wago,B/op,27968,27904,-0.22883295194507935,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_i32,wago,allocs/op,36,36,0,1,6,6,reported,paired
explicit,BenchmarkCompile/isa_i64,wago,ns/op,207838.5,153483.5,-26.15251745946974,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_i64,wago,B/op,27968,27904,-0.22883295194507935,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_i64,wago,allocs/op,36,36,0,1,6,6,reported,paired
explicit,BenchmarkCompile/isa_f32,wago,ns/op,127999.5,90082,-29.62316259047887,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_f32,wago,B/op,27400,23272,-15.065693430656935,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_f32,wago,allocs/op,45,45,0,1,6,6,reported,paired
explicit,BenchmarkCompile/isa_f64,wago,ns/op,127664.5,89700,-29.737710953319052,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_f64,wago,B/op,27400,23272,-15.065693430656935,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_f64,wago,allocs/op,45,45,0,1,6,6,reported,paired
explicit,BenchmarkCompile/isa_mem,wago,ns/op,99323.5,77709,-21.761718022421682,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_mem,wago,B/op,25896,23064,-10.936051899907318,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_mem,wago,allocs/op,32,32,0,1,6,6,reported,paired
explicit,BenchmarkCompile/isa_bulk_mem,wago,ns/op,30758.5,27117.5,-11.837378285677126,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_bulk_mem,wago,B/op,11224,10808,-3.706343549536706,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_bulk_mem,wago,allocs/op,34,34,0,1,6,6,reported,paired
explicit,BenchmarkCompile/isa_ctl,wago,ns/op,89186,73616,-17.457896979346533,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_ctl,wago,B/op,59072,59056,-0.027085590465869558,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_ctl,wago,allocs/op,37,37,0,1,6,6,reported,paired
explicit,BenchmarkCompile/isa_call,wago,ns/op,32993.5,27121,-17.798960401291165,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_call,wago,B/op,27928,27928,0,1,6,6,reported,paired
explicit,BenchmarkCompile/isa_call,wago,allocs/op,68,68,0,1,6,6,reported,paired
explicit,BenchmarkCompile/isa_var,wago,ns/op,23513,18412.5,-21.692255348105306,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_var,wago,B/op,23104,22336,-3.3240997229916913,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_var,wago,allocs/op,32,32,0,1,6,6,reported,paired
explicit,BenchmarkCompile/isa_cvt,wago,ns/op,68657.5,52013.5,-24.242071150274914,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_cvt,wago,B/op,20552,17832,-13.23472168158817,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_cvt,wago,allocs/op,30,30,0,1,6,6,reported,paired
explicit,BenchmarkCompile/isa_simd_v128,wago,ns/op,68362.5,52600.5,-23.056500274273173,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_simd_v128,wago,B/op,26592,26576,-0.06016847172082285,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_simd_v128,wago,allocs/op,34,34,0,1,6,6,reported,paired
explicit,BenchmarkCompile/isa_simd_i8x16,wago,ns/op,298957.5,221830,-25.798817557679598,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_simd_i8x16,wago,B/op,29872,22832,-23.567220139260847,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_simd_i8x16,wago,allocs/op,37,37,0,1,6,6,reported,paired
explicit,BenchmarkCompile/isa_simd_i16x8,wago,ns/op,383971,296556,-22.766042227147366,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_simd_i16x8,wago,B/op,28520,22248,-21.991584852734924,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_simd_i16x8,wago,allocs/op,29,29,0,1,6,6,reported,paired
explicit,BenchmarkCompile/isa_simd_i32x4,wago,ns/op,360319,281667,-21.828435358668298,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_simd_i32x4,wago,B/op,28384,22112,-22.096956031567082,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_simd_i32x4,wago,allocs/op,30,30,0,1,6,6,reported,paired
explicit,BenchmarkCompile/isa_simd_i64x2,wago,ns/op,217916,174821.5,-19.775739275684213,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_simd_i64x2,wago,B/op,26920,20712,-23.06092124814264,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_simd_i64x2,wago,allocs/op,27,27,0,1,6,6,reported,paired
explicit,BenchmarkCompile/isa_simd_f32x4,wago,ns/op,224755,174056.5,-22.55722898267002,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_simd_f32x4,wago,B/op,27152,20944,-22.86387743076016,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_simd_f32x4,wago,allocs/op,29,29,0,1,6,6,reported,paired
explicit,BenchmarkCompile/isa_simd_f64x2,wago,ns/op,224314.5,176811,-21.17718649485433,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_simd_f64x2,wago,B/op,27104,20896,-22.904368358913818,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_simd_f64x2,wago,allocs/op,28,28,0,1,6,6,reported,paired
explicit,BenchmarkCompile/isa_simd_reduce,wago,ns/op,73483,59402.5,-19.16157478600493,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_simd_reduce,wago,B/op,25792,22944,-11.042183622828784,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/isa_simd_reduce,wago,allocs/op,31,31,0,1,6,6,reported,paired
explicit,BenchmarkCompileCommuteSelfUpdate/blake-as/off,wago,ns/op,487071.5,343016.5,-29.57573990676934,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompileCommuteSelfUpdate/blake-as/off,wago,code-B,11933,11933,0,1,6,6,reported,paired
explicit,BenchmarkCompileCommuteSelfUpdate/blake-as/off,wago,B/op,152015.5,151908,-0.07071647299123907,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompileCommuteSelfUpdate/blake-as/off,wago,allocs/op,216,214,-0.92592592592593,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompileCommuteSelfUpdate/blake-as/on,wago,ns/op,491579.5,356238.5,-27.53186412370735,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompileCommuteSelfUpdate/blake-as/on,wago,code-B,11341,11341,0,1,6,6,reported,paired
explicit,BenchmarkCompileCommuteSelfUpdate/blake-as/on,wago,B/op,151957,151864.5,-0.06087248366314357,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompileCommuteSelfUpdate/blake-as/on,wago,allocs/op,216,214,-0.92592592592593,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompileCommuteSelfUpdate/blake-as-simd/off,wago,ns/op,1656054.5,1150330,-30.537914060195483,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompileCommuteSelfUpdate/blake-as-simd/off,wago,code-B,41242,41242,0,1,6,6,reported,paired
explicit,BenchmarkCompileCommuteSelfUpdate/blake-as-simd/off,wago,B/op,297419.5,297722.5,0.10187630602567221,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompileCommuteSelfUpdate/blake-as-simd/off,wago,allocs/op,248,249,0.40322580645162365,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompileCommuteSelfUpdate/blake-as-simd/on,wago,ns/op,1647440,1133644,-31.187539455154667,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompileCommuteSelfUpdate/blake-as-simd/on,wago,code-B,40602,40602,0,1,6,6,reported,paired
explicit,BenchmarkCompileCommuteSelfUpdate/blake-as-simd/on,wago,B/op,297420.5,297722,0.10137162703982572,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompileCommuteSelfUpdate/blake-as-simd/on,wago,allocs/op,248,249,0.40322580645162365,0.0021645021645021645,6,6,reported,paired
