bounds,label,group,sample,peak_rss_KiB
signals,final,BenchmarkExecGlobalGet_wago,4,16232
signals,final,BenchmarkExecGlobalGet_wago,5,18124
signals,base,BenchmarkExecGlobalGet_wago,5,20212
signals,base,BenchmarkExecGlobalSet_wago,0,18128
signals,final,BenchmarkExecGlobalSet_wago,0,18336
signals,final,BenchmarkExecGlobalSet_wago,1,18132
signals,base,BenchmarkExecGlobalSet_wago,1,18072
signals,base,BenchmarkExecGlobalSet_wago,2,18076
signals,final,BenchmarkExecGlobalSet_wago,2,18120
signals,final,BenchmarkExecGlobalSet_wago,3,18152
signals,base,BenchmarkExecGlobalSet_wago,3,17928
signals,base,BenchmarkExecGlobalSet_wago,4,18140
signals,final,BenchmarkExecGlobalSet_wago,4,20208
signals,final,BenchmarkExecGlobalSet_wago,5,20404
signals,base,BenchmarkExecGlobalSet_wago,5,18024
signals,base,BenchmarkExecLocalGet_wago,0,20156
signals,final,BenchmarkExecLocalGet_wago,0,18284
signals,final,BenchmarkExecLocalGet_wago,1,20288
signals,base,BenchmarkExecLocalGet_wago,1,16308
signals,base,BenchmarkExecLocalGet_wago,2,17680
signals,final,BenchmarkExecLocalGet_wago,2,20280
signals,final,BenchmarkExecLocalGet_wago,3,20120
signals,base,BenchmarkExecLocalGet_wago,3,20188
signals,base,BenchmarkExecLocalGet_wago,4,18076
signals,final,BenchmarkExecLocalGet_wago,4,17856
signals,final,BenchmarkExecLocalGet_wago,5,18088
signals,base,BenchmarkExecLocalGet_wago,5,16264
signals,base,BenchmarkExecMemoryLoad_wago,0,18052
signals,final,BenchmarkExecMemoryLoad_wago,0,20332
signals,final,BenchmarkExecMemoryLoad_wago,1,18148
signals,base,BenchmarkExecMemoryLoad_wago,1,16188
signals,base,BenchmarkExecMemoryLoad_wago,2,18188
signals,final,BenchmarkExecMemoryLoad_wago,2,18172
signals,final,BenchmarkExecMemoryLoad_wago,3,18180
signals,base,BenchmarkExecMemoryLoad_wago,3,20000
signals,base,BenchmarkExecMemoryLoad_wago,4,17928
signals,final,BenchmarkExecMemoryLoad_wago,4,18112
signals,final,BenchmarkExecMemoryLoad_wago,5,18392
signals,base,BenchmarkExecMemoryLoad_wago,5,20088
signals,base,BenchmarkWazeroCompile,0,686864
signals,final,BenchmarkWazeroCompile,0,717028
signals,final,BenchmarkWazeroCompile,1,697564
signals,base,BenchmarkWazeroCompile,1,709472
signals,base,BenchmarkWazeroCompile,2,687912
signals,final,BenchmarkWazeroCompile,2,777224
signals,final,BenchmarkWazeroCompile,3,715944
signals,base,BenchmarkWazeroCompile,3,739156
signals,base,BenchmarkWazeroCompile,4,635148
signals,final,BenchmarkWazeroCompile,4,699752
signals,final,BenchmarkWazeroCompile,5,700032
signals,base,BenchmarkWazeroCompile,5,566756
signals,base,BenchmarkWazeroInstantiate,0,108288
signals,final,BenchmarkWazeroInstantiate,0,91764
signals,final,BenchmarkWazeroInstantiate,1,96564
signals,base,BenchmarkWazeroInstantiate,1,96596
signals,base,BenchmarkWazeroInstantiate,2,97704
signals,final,BenchmarkWazeroInstantiate,2,198000
signals,final,BenchmarkWazeroInstantiate,3,94488
signals,base,BenchmarkWazeroInstantiate,3,159992
signals,base,BenchmarkWazeroInstantiate,4,107748
signals,final,BenchmarkWazeroInstantiate,4,94376
signals,final,BenchmarkWazeroInstantiate,5,174972
signals,base,BenchmarkWazeroInstantiate,5,95444
signals,base,BenchmarkWazeroExec,0,78280
signals,final,BenchmarkWazeroExec,0,80280
signals,final,BenchmarkWazeroExec,1,79356
signals,base,BenchmarkWazeroExec,1,78976
signals,base,BenchmarkWazeroExec,2,77568
signals,final,BenchmarkWazeroExec,2,76920
signals,final,BenchmarkWazeroExec,3,77412
signals,base,BenchmarkWazeroExec,3,77376
signals,base,BenchmarkWazeroExec,4,80056
signals,final,BenchmarkWazeroExec,4,79676
signals,final,BenchmarkWazeroExec,5,77596
signals,base,BenchmarkWazeroExec,5,79176
signals,base,BenchmarkMemSumBounds,0,18348
signals,final,BenchmarkMemSumBounds,0,18812
signals,final,BenchmarkMemSumBounds,1,20360
signals,base,BenchmarkMemSumBounds,1,20568
signals,base,BenchmarkMemSumBounds,2,18432
signals,final,BenchmarkMemSumBounds,2,18532
signals,final,BenchmarkMemSumBounds,3,18320
signals,base,BenchmarkMemSumBounds,3,18568
signals,base,BenchmarkMemSumBounds,4,18492
signals,final,BenchmarkMemSumBounds,4,18580
signals,final,BenchmarkMemSumBounds,5,18344
signals,base,BenchmarkMemSumBounds,5,18356
signals,base,BenchmarkJsonAsSerialize_wago,0,37484
signals,final,BenchmarkJsonAsSerialize_wago,0,39588
signals,final,BenchmarkJsonAsSerialize_wago,1,37044
signals,base,BenchmarkJsonAsSerialize_wago,1,39556
signals,base,BenchmarkJsonAsSerialize_wago,2,37304
signals,final,BenchmarkJsonAsSerialize_wago,2,37148
signals,final,BenchmarkJsonAsSerialize_wago,3,37588
signals,base,BenchmarkJsonAsSerialize_wago,3,39652
signals,base,BenchmarkJsonAsSerialize_wago,4,37508
signals,final,BenchmarkJsonAsSerialize_wago,4,37288
signals,final,BenchmarkJsonAsSerialize_wago,5,37496
signals,base,BenchmarkJsonAsSerialize_wago,5,37716
signals,base,BenchmarkJsonAsDeserialize_wago,0,39516
signals,final,BenchmarkJsonAsDeserialize_wago,0,37488
signals,final,BenchmarkJsonAsDeserialize_wago,1,37232
signals,base,BenchmarkJsonAsDeserialize_wago,1,37360
signals,base,BenchmarkJsonAsDeserialize_wago,2,39516
signals,final,BenchmarkJsonAsDeserialize_wago,2,39684
signals,final,BenchmarkJsonAsDeserialize_wago,3,37364
signals,base,BenchmarkJsonAsDeserialize_wago,3,37608
signals,base,BenchmarkJsonAsDeserialize_wago,4,39492
signals,final,BenchmarkJsonAsDeserialize_wago,4,37596
signals,final,BenchmarkJsonAsDeserialize_wago,5,37600
signals,base,BenchmarkJsonAsDeserialize_wago,5,37056
signals,base,BenchmarkJsonAsSerialize_wazero,0,23508
signals,final,BenchmarkJsonAsSerialize_wazero,0,22972
signals,final,BenchmarkJsonAsSerialize_wazero,1,24752
signals,base,BenchmarkJsonAsSerialize_wazero,1,23544
signals,base,BenchmarkJsonAsSerialize_wazero,2,22928
signals,final,BenchmarkJsonAsSerialize_wazero,2,23312
signals,final,BenchmarkJsonAsSerialize_wazero,3,22444
signals,base,BenchmarkJsonAsSerialize_wazero,3,26108
signals,base,BenchmarkJsonAsSerialize_wazero,4,23108
signals,final,BenchmarkJsonAsSerialize_wazero,4,23624
signals,final,BenchmarkJsonAsSerialize_wazero,5,23228
signals,base,BenchmarkJsonAsSerialize_wazero,5,21436
signals,base,BenchmarkJsonAsDeserialize_wazero,0,23856
signals,final,BenchmarkJsonAsDeserialize_wazero,0,21228
signals,final,BenchmarkJsonAsDeserialize_wazero,1,24324
signals,base,BenchmarkJsonAsDeserialize_wazero,1,23780
signals,base,BenchmarkJsonAsDeserialize_wazero,2,22776
signals,final,BenchmarkJsonAsDeserialize_wazero,2,22272
signals,final,BenchmarkJsonAsDeserialize_wazero,3,24352
signals,base,BenchmarkJsonAsDeserialize_wazero,3,23768
signals,base,BenchmarkJsonAsDeserialize_wazero,4,26068
signals,final,BenchmarkJsonAsDeserialize_wazero,4,22056
signals,final,BenchmarkJsonAsDeserialize_wazero,5,23408
signals,base,BenchmarkJsonAsDeserialize_wazero,5,22664
signals,base,BenchmarkCompileCommuteSelfUpdate,0,134196
signals,final,BenchmarkCompileCommuteSelfUpdate,0,130820
signals,final,BenchmarkCompileCommuteSelfUpdate,1,129652
signals,base,BenchmarkCompileCommuteSelfUpdate,1,134672
signals,base,BenchmarkCompileCommuteSelfUpdate,2,134564
signals,final,BenchmarkCompileCommuteSelfUpdate,2,130600
signals,final,BenchmarkCompileCommuteSelfUpdate,3,133520
signals,base,BenchmarkCompileCommuteSelfUpdate,3,133680
signals,base,BenchmarkCompileCommuteSelfUpdate,4,134236
signals,final,BenchmarkCompileCommuteSelfUpdate,4,130220
signals,final,BenchmarkCompileCommuteSelfUpdate,5,133940
signals,base,BenchmarkCompileCommuteSelfUpdate,5,134080
signals,base,BenchmarkExecCommuteSelfUpdate,0,52120
signals,final,BenchmarkExecCommuteSelfUpdate,0,54164
signals,final,BenchmarkExecCommuteSelfUpdate,1,54348
signals,base,BenchmarkExecCommuteSelfUpdate,1,52100
signals,base,BenchmarkExecCommuteSelfUpdate,2,51932
signals,final,BenchmarkExecCommuteSelfUpdate,2,54316
signals,final,BenchmarkExecCommuteSelfUpdate,3,52244
signals,base,BenchmarkExecCommuteSelfUpdate,3,52164
signals,base,BenchmarkExecCommuteSelfUpdate,4,52040
signals,final,BenchmarkExecCommuteSelfUpdate,4,52204
signals,final,BenchmarkExecCommuteSelfUpdate,5,52200
signals,base,BenchmarkExecCommuteSelfUpdate,5,51956
signals,base,BenchmarkKernels,0,19932
signals,final,BenchmarkKernels,0,20184
signals,final,BenchmarkKernels,1,20152
signals,base,BenchmarkKernels,1,18124
signals,base,BenchmarkKernels,2,18340
signals,final,BenchmarkKernels,2,18028
signals,final,BenchmarkKernels,3,20064
signals,base,BenchmarkKernels,3,20012
signals,base,BenchmarkKernels,4,21648
signals,final,BenchmarkKernels,4,20084
signals,final,BenchmarkKernels,5,20056
signals,base,BenchmarkKernels,5,20160
signals,base,BenchmarkSqliBenign,0,13060
signals,final,BenchmarkSqliBenign,0,12956
signals,final,BenchmarkSqliBenign,1,15004
signals,base,BenchmarkSqliBenign,1,13040
signals,base,BenchmarkSqliBenign,2,10948
signals,final,BenchmarkSqliBenign,2,13140
signals,final,BenchmarkSqliBenign,3,12800
signals,base,BenchmarkSqliBenign,3,13112
signals,base,BenchmarkSqliBenign,4,15016
signals,final,BenchmarkSqliBenign,4,10816
signals,final,BenchmarkSqliBenign,5,13064
signals,base,BenchmarkSqliBenign,5,15200
signals,base,BenchmarkDecode,0,111524
signals,final,BenchmarkDecode,0,99744
signals,final,BenchmarkDecode,1,98708
signals,base,BenchmarkDecode,1,100348
signals,base,BenchmarkDecode,2,101928
signals,final,BenchmarkDecode,2,103288
signals,final,BenchmarkDecode,3,103156
signals,base,BenchmarkDecode,3,104252
signals,base,BenchmarkDecode,4,96864
signals,final,BenchmarkDecode,4,100780
signals,final,BenchmarkDecode,5,102056
signals,base,BenchmarkDecode,5,97080
signals,base,BenchmarkValidate,0,90428
signals,final,BenchmarkValidate,0,82512
signals,final,BenchmarkValidate,1,84216
signals,base,BenchmarkValidate,1,89848
signals,base,BenchmarkValidate,2,91876
signals,final,BenchmarkValidate,2,80964
signals,final,BenchmarkValidate,3,91688
signals,base,BenchmarkValidate,3,81560
signals,base,BenchmarkValidate,4,83448
signals,final,BenchmarkValidate,4,92104
signals,final,BenchmarkValidate,5,82176
signals,base,BenchmarkValidate,5,91076
signals,base,BenchmarkValidateWorkers,0,90324
signals,final,BenchmarkValidateWorkers,0,93340
signals,final,BenchmarkValidateWorkers,1,90320
signals,base,BenchmarkValidateWorkers,1,90928
signals,base,BenchmarkValidateWorkers,2,93684
signals,final,BenchmarkValidateWorkers,2,90736
signals,final,BenchmarkValidateWorkers,3,90116
signals,base,BenchmarkValidateWorkers,3,90132
signals,base,BenchmarkValidateWorkers,4,93020
signals,final,BenchmarkValidateWorkers,4,90864
signals,final,BenchmarkValidateWorkers,5,91012
signals,base,BenchmarkValidateWorkers,5,90872
signals,base,BenchmarkCompile,0,1650088
signals,final,BenchmarkCompile,0,1956776
signals,final,BenchmarkCompile,1,1895772
signals,base,BenchmarkCompile,1,1644176
signals,base,BenchmarkCompile,2,1665080
signals,final,BenchmarkCompile,2,1845920
signals,final,BenchmarkCompile,3,1982004
signals,base,BenchmarkCompile,3,1706580
signals,base,BenchmarkCompile,4,1645676
signals,final,BenchmarkCompile,4,1914388
signals,final,BenchmarkCompile,5,1901080
signals,base,BenchmarkCompile,5,1653392
signals,base,BenchmarkCompileWorkers,0,835672
signals,final,BenchmarkCompileWorkers,0,920828
signals,final,BenchmarkCompileWorkers,1,924464
signals,base,BenchmarkCompileWorkers,1,829368
signals,base,BenchmarkCompileWorkers,2,829268
signals,final,BenchmarkCompileWorkers,2,925396
signals,final,BenchmarkCompileWorkers,3,919456
signals,base,BenchmarkCompileWorkers,3,831948
signals,base,BenchmarkCompileWorkers,4,835380
signals,final,BenchmarkCompileWorkers,4,922940
signals,final,BenchmarkCompileWorkers,5,900608
signals,base,BenchmarkCompileWorkers,5,821604
signals,base,BenchmarkCompileFullOptimizationAblation,0,12596
signals,final,BenchmarkCompileFullOptimizationAblation,0,12780
signals,final,BenchmarkCompileFullOptimizationAblation,1,14844
signals,base,BenchmarkCompileFullOptimizationAblation,1,12652
signals,base,BenchmarkCompileFullOptimizationAblation,2,10380
signals,final,BenchmarkCompileFullOptimizationAblation,2,14680
signals,final,BenchmarkCompileFullOptimizationAblation,3,12780
signals,base,BenchmarkCompileFullOptimizationAblation,3,12560
signals,base,BenchmarkCompileFullOptimizationAblation,4,12492
signals,final,BenchmarkCompileFullOptimizationAblation,4,12760
signals,final,BenchmarkCompileFullOptimizationAblation,5,12764
signals,base,BenchmarkCompileFullOptimizationAblation,5,12328
signals,base,BenchmarkCompileFullWorkers,0,221916
signals,final,BenchmarkCompileFullWorkers,0,227152
signals,final,BenchmarkCompileFullWorkers,1,223708
signals,base,BenchmarkCompileFullWorkers,1,225664
signals,base,BenchmarkCompileFullWorkers,2,224792
signals,final,BenchmarkCompileFullWorkers,2,226900
signals,final,BenchmarkCompileFullWorkers,3,220344
signals,base,BenchmarkCompileFullWorkers,3,225944
signals,base,BenchmarkCompileFullWorkers,4,223156
signals,final,BenchmarkCompileFullWorkers,4,223016
signals,final,BenchmarkCompileFullWorkers,5,224928
signals,base,BenchmarkCompileFullWorkers,5,223772
signals,base,BenchmarkCompileMultiModuleThroughput,0,182848
signals,final,BenchmarkCompileMultiModuleThroughput,0,182876
signals,final,BenchmarkCompileMultiModuleThroughput,1,184612
signals,base,BenchmarkCompileMultiModuleThroughput,1,182844
signals,base,BenchmarkCompileMultiModuleThroughput,2,182024
signals,final,BenchmarkCompileMultiModuleThroughput,2,184620
signals,final,BenchmarkCompileMultiModuleThroughput,3,176256
signals,base,BenchmarkCompileMultiModuleThroughput,3,195260
signals,base,BenchmarkCompileMultiModuleThroughput,4,184644
signals,final,BenchmarkCompileMultiModuleThroughput,4,183144
signals,final,BenchmarkCompileMultiModuleThroughput,5,194984
signals,base,BenchmarkCompileMultiModuleThroughput,5,191264
signals,base,BenchmarkInstantiate,0,80528
signals,final,BenchmarkInstantiate,0,80748
signals,final,BenchmarkInstantiate,1,80656
signals,base,BenchmarkInstantiate,1,78588
signals,base,BenchmarkInstantiate,2,81024
signals,final,BenchmarkInstantiate,2,78212
signals,final,BenchmarkInstantiate,3,82444
signals,base,BenchmarkInstantiate,3,78380
signals,base,BenchmarkInstantiate,4,79840
signals,final,BenchmarkInstantiate,4,80388
signals,final,BenchmarkInstantiate,5,81032
signals,base,BenchmarkInstantiate,5,80316
explicit,base,BenchmarkPluginInstantiate,0,224700
explicit,final,BenchmarkPluginInstantiate,0,226876
explicit,final,BenchmarkPluginInstantiate,1,219636
explicit,base,BenchmarkPluginInstantiate,1,222508
explicit,base,BenchmarkPluginInstantiate,2,228196
explicit,final,BenchmarkPluginInstantiate,2,221976
explicit,final,BenchmarkPluginInstantiate,3,226644
explicit,base,BenchmarkPluginInstantiate,3,228520
explicit,base,BenchmarkPluginInstantiate,4,216672
explicit,final,BenchmarkPluginInstantiate,4,215960
