bounds	benchmark	unit	main	fixed	delta_percent	p
explicit	BenchmarkCompileFullWorkers/lua/p8	allocs/op	4070.5	4178	2.6409531998526026	0.0021645021645021645
explicit	BenchmarkCompileFull/float	allocs/op	79	81	2.5316455696202445	0.0021645021645021645
signals	BenchmarkCompileFull/float	allocs/op	79	81	2.5316455696202445	0.0021645021645021645
explicit	BenchmarkCompileWorkers/esbuild/p4	B/op	118793552	121695938	2.44321846694171	0.17965367965367965
explicit	BenchmarkCompileFullWorkers/fib_rec/p1	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/fib_rec/p2	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/fib_rec/p4	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/fib_rec/p8	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/fib_rec/auto	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/many_funcs/p1	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
explicit	BenchmarkCompileMultiModuleThroughput/many_funcs/p1	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/fib_rec/p1	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/fib_rec/p2	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/fib_rec/p4	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/fib_rec/p8	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/fib_rec/auto	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/many_funcs/p1	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
signals	BenchmarkCompileMultiModuleThroughput/many_funcs/p1	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
explicit	BenchmarkCompileFull/fib_rec	allocs/op	83	85	2.4096385542168752	0.0021645021645021645
explicit	BenchmarkCompileFull/many_funcs	allocs/op	83	85	2.4096385542168752	0.0021645021645021645
signals	BenchmarkCompileFull/fib_rec	allocs/op	83	85	2.4096385542168752	0.0021645021645021645
signals	BenchmarkCompileFull/many_funcs	allocs/op	83	85	2.4096385542168752	0.0021645021645021645
signals	BenchmarkCompileWorkers/esbuild/p8	B/op	130424588	133454052	2.3227706113206237	0.17965367965367965
signals	BenchmarkCompileFull/linked_list	allocs/op	87	89	2.298850574712641	0.0021645021645021645
signals	BenchmarkCompileWorkers/lua/p2	allocs/op	1053	1077	2.279202279202286	0.0021645021645021645
signals	BenchmarkCompileFull/sieve	allocs/op	88	90	2.2727272727272707	0.0021645021645021645
signals	BenchmarkCompileFull/memory	allocs/op	89	91	2.2471910112359605	0.0021645021645021645
explicit	BenchmarkCompileFull/memory	allocs/op	90	92	2.2222222222222143	0.0021645021645021645
explicit	BenchmarkCompileFull/linked_list	allocs/op	90	92	2.2222222222222143	0.0021645021645021645
explicit	BenchmarkCompileFull/sieve	allocs/op	91	93	2.19780219780219	0.0021645021645021645
explicit	BenchmarkCompileFull/swar-pack-parse	allocs/op	91	93	2.19780219780219	0.0021645021645021645
signals	BenchmarkCompileFull/swar-pack-parse	allocs/op	91	93	2.19780219780219	0.0021645021645021645
explicit	BenchmarkCompileFull/xjb-mulhi	allocs/op	93	95	2.1505376344086002	0.0021645021645021645
