run,bounds,benchmark,unit,main_median,after_median,change_percent,p,main_samples,after_samples,prior_median,after_vs_prior_percent,p_vs_prior,benchtime,note
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/json-as-simd,ns/op,1540382.5,1309379,-14.996502492075836,0.015151515151515152,6,6,1243891.5,5.264727671183533,0.24025974025974026,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/json-as-simd,B/op,144456,145128,0.4651935537464791,0.0021645021645021645,6,6,145128,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/json-as-simd,allocs/op,183,183,0,1,6,6,183,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/blake-as-simd,ns/op,954548.5,766552,-19.69480859275353,0.04112554112554113,6,6,835150,-8.213853798718795,0.24025974025974026,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/blake-as-simd,B/op,250080,250232,0.0607805502239378,0.0021645021645021645,6,6,250232,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/blake-as-simd,allocs/op,133,132,-0.7518796992481258,0.0021645021645021645,6,6,132,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/utf-as-simd,ns/op,634754.5,563190.5,-11.27428005630523,0.30952380952380953,6,6,534551.5,5.357575462794517,0.8181818181818182,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/utf-as-simd,B/op,146712,146608,-0.07088718032608465,0.0021645021645021645,6,6,146608,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/utf-as-simd,allocs/op,137,135,-1.4598540145985384,0.0021645021645021645,6,6,135,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/coremark,ns/op,569527.5,555014.5,-2.5482527182620673,0.48484848484848486,6,6,438777,26.49124726227674,0.17965367965367965,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/coremark,B/op,126216,126200,-0.012676681244849775,0.0021645021645021645,6,6,126200,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/coremark,allocs/op,93,93,0,1,6,6,93,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/blake3,ns/op,1022361,731350,-28.464603012047608,0.008658008658008658,6,6,778529,-6.060018316594496,0.6991341991341992,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/blake3,B/op,127768,127736,-0.025045394778033803,0.0021645021645021645,6,6,127736,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/blake3,allocs/op,105,105,0,1,6,6,105,0,1,1x,single-operation memory check; not a timing claim
