bounds	benchmark	unit	base_median	candidate_median	delta_percent	p	base_n	candidate_n	status
explicit	BenchmarkCompile/utf-as-simd	B/op	125968.5	125512	-0.36239218534792617	0.08441558441558442	6	6	paired
explicit	BenchmarkCompile/utf-as-simd	allocs/op	106	103	-2.8301886792452824	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/coremark	ns/op	699400.5	598584	-14.414702305760429	0.04112554112554113	6	6	paired
explicit	BenchmarkCompile/coremark	B/op	242192	242232	0.016515822157625593	0.23376623376623376	6	6	paired
explicit	BenchmarkCompile/coremark	allocs/op	99	98	-1.0101010101010055	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/blake3	ns/op	1084133.5	798322	-26.363127788229036	0.025974025974025976	6	6	paired
explicit	BenchmarkCompile/blake3	B/op	125264	125144	-0.09579767530975003	0.012987012987012988	6	6	paired
explicit	BenchmarkCompile/blake3	allocs/op	101	98	-2.970297029702973	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/qoi	ns/op	209410	190938.5	-8.820734444391388	0.30952380952380953	6	6	paired
explicit	BenchmarkCompile/qoi	B/op	63803.5	63544	-0.4067174998236722	0.047619047619047616	6	6	paired
explicit	BenchmarkCompile/qoi	allocs/op	93	92	-1.0752688172043001	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/lz4	ns/op	169235	164338.5	-2.8933140307855987	0.5887445887445888	6	6	paired
explicit	BenchmarkCompile/lz4	B/op	61723.5	61440	-0.4593064229993393	0.45670995670995673	6	6	paired
explicit	BenchmarkCompile/lz4	allocs/op	61	61	0	1	6	6	paired
explicit	BenchmarkCompile/zlib	ns/op	1128920.5	1009811	-10.550742944255154	0.09307359307359307	6	6	paired
explicit	BenchmarkCompile/zlib	B/op	264777.5	264408	-0.13955113255469387	1	6	6	paired
explicit	BenchmarkCompile/zlib	allocs/op	164	163	-0.6097560975609762	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/zstd	ns/op	4638517.5	3619009	-21.979188393705527	0.06493506493506493	6	6	paired
