goos: linux
goarch: amd64
pkg: wagobench
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics
                                                                 │ /tmp/wago-pr564-HbN430/base-explicit.txt │ /tmp/wago-pr564-HbN430/candidate-explicit.txt │
                                                                 │                  sec/op                  │         sec/op          vs base               │
CompileCompact/isa_call-8                                                                     72.96µ ±  11%            71.69µ ±  26%        ~ (p=1.000 n=6)
CompileCompact/isa_var-8                                                                      57.56µ ±  19%            54.68µ ±  16%        ~ (p=0.310 n=6)
CompileCompact/isa_cvt-8                                                                      147.3µ ±  20%            135.4µ ±  28%        ~ (p=0.180 n=6)
CompileCompact/isa_simd_v128-8                                                                126.4µ ±  12%            112.2µ ±  19%        ~ (p=0.093 n=6)
CompileCompact/isa_simd_i8x16-8                                                               405.4µ ±  46%            335.0µ ±   9%  -17.37% (p=0.002 n=6)
CompileCompact/isa_simd_i16x8-8                                                               550.6µ ±  20%            450.9µ ±  30%  -18.11% (p=0.026 n=6)
CompileCompact/isa_simd_i32x4-8                                                               509.4µ ±  15%            446.6µ ±  29%        ~ (p=0.310 n=6)
CompileCompact/isa_simd_i64x2-8                                                               345.8µ ±  14%            267.9µ ±  21%  -22.54% (p=0.015 n=6)
CompileCompact/isa_simd_f32x4-8                                                               362.8µ ±  26%            250.9µ ±  26%  -30.83% (p=0.004 n=6)
CompileCompact/isa_simd_f64x2-8                                                               349.3µ ±  27%            273.8µ ±  21%  -21.62% (p=0.015 n=6)
CompileCompact/isa_simd_reduce-8                                                             118.77µ ±  31%            97.85µ ±  14%  -17.62% (p=0.002 n=6)
CompileFull/tiny-8                                                                            17.58µ ±   6%            17.72µ ±   6%        ~ (p=1.000 n=6)
CompileFull/fib_iter-8                                                                        20.36µ ±   7%            19.67µ ±   4%        ~ (p=0.132 n=6)
CompileFull/fib_rec-8                                                                         20.92µ ±   9%            20.00µ ±   5%   -4.40% (p=0.015 n=6)
CompileFull/arith-8                                                                           22.57µ ±   5%            20.09µ ±   5%  -10.99% (p=0.002 n=6)
CompileFull/float-8                                                                           21.65µ ±   4%            20.30µ ±   6%   -6.24% (p=0.004 n=6)
CompileFull/memory-8                                                                          27.26µ ±  10%            23.83µ ±   9%  -12.57% (p=0.002 n=6)
CompileFull/memory_tree-8                                                                     37.97µ ±   5%            32.36µ ±   4%  -14.79% (p=0.002 n=6)
CompileFull/globals-8                                                                         25.00µ ±   9%            23.30µ ±   3%        ~ (p=0.065 n=6)
CompileFull/dispatch-8                                                                        30.19µ ±   4%            29.12µ ±   6%        ~ (p=0.093 n=6)
CompileFull/branches-8                                                                        19.72µ ±   4%            18.91µ ±   7%        ~ (p=0.240 n=6)
CompileFull/many_funcs-8                                                                      475.2µ ±   4%            406.9µ ±   8%  -14.37% (p=0.002 n=6)
CompileFull/linked_list-8                                                                     28.31µ ±   6%            25.41µ ±   5%  -10.27% (p=0.002 n=6)
CompileFull/mandelbrot-8                                                                      32.78µ ±   7%            27.21µ ±   6%  -16.99% (p=0.002 n=6)
CompileFull/sieve-8                                                                           31.60µ ±   9%            27.13µ ±   5%  -14.17% (p=0.002 n=6)
CompileFull/nbody-8                                                                          136.35µ ±   4%            92.84µ ±   4%  -31.91% (p=0.002 n=6)
CompileFull/spectralnorm-8                                                                   117.86µ ±   9%            84.47µ ±   9%  -28.33% (p=0.002 n=6)
CompileFull/fannkuch-8                                                                        175.0µ ±   8%            117.8µ ±  12%  -32.68% (p=0.002 n=6)
CompileFull/matmul-8                                                                          98.88µ ±   3%            73.23µ ±  13%  -25.94% (p=0.002 n=6)
CompileFull/quicksort-8                                                                      101.23µ ±   5%            77.31µ ±   5%  -23.63% (p=0.002 n=6)
CompileFull/crc32-8                                                                           62.58µ ±   6%            49.58µ ±   9%  -20.78% (p=0.002 n=6)
CompileFull/sha256-8                                                                         133.52µ ±   4%            94.98µ ±   4%  -28.86% (p=0.002 n=6)
CompileFull/raytrace-8                                                                        359.4µ ±   3%            225.5µ ±  12%  -37.27% (p=0.002 n=6)
CompileFull/regexmatch-8                                                                      64.80m ±   5%            42.96m ±   6%  -33.71% (p=0.002 n=6)
CompileFull/wasm3-8                                                                           16.82m ±   2%            11.76m ±   6%  -30.09% (p=0.002 n=6)
CompileFull/json-as-8                                                                         1.886m ±   3%            1.357m ±   6%  -28.03% (p=0.002 n=6)
CompileFull/blake-as-8                                                                        493.4µ ±   3%            318.9µ ±  10%  -35.36% (p=0.002 n=6)
CompileFull/utf-as-8                                                                          302.9µ ±   5%            229.1µ ±   6%  -24.37% (p=0.002 n=6)
CompileFull/xjb-mulhi-8                                                                       36.84µ ±   8%            29.90µ ±   8%  -18.84% (p=0.002 n=6)
CompileFull/swar-pack-parse-8                                                                 36.46µ ±   7%            31.13µ ±  27%        ~ (p=0.065 n=6)
CompileFull/json-as-simd-8                                                                    2.085m ±   7%            1.504m ±  14%  -27.87% (p=0.002 n=6)
CompileFull/blake-as-simd-8                                                                   1.548m ±   7%            1.012m ±  22%  -34.59% (p=0.002 n=6)
CompileFull/utf-as-simd-8                                                                     882.7µ ±   8%            623.1µ ±  32%  -29.40% (p=0.002 n=6)
CompileFull/coremark-8                                                                        860.7µ ±   2%            556.1µ ±  13%  -35.39% (p=0.002 n=6)
CompileFull/blake3-8                                                                         1355.6µ ±   6%            897.2µ ±   7%  -33.82% (p=0.002 n=6)
CompileFull/qoi-8                                                                             277.6µ ±   7%            187.4µ ±  15%  -32.48% (p=0.002 n=6)
CompileFull/lz4-8                                                                             244.5µ ±   6%            163.8µ ±   4%  -33.02% (p=0.002 n=6)
CompileFull/zlib-8                                                                           1474.6µ ±   5%            982.8µ ±   6%  -33.35% (p=0.002 n=6)
CompileFull/zstd-8                                                                            5.403m ±   3%            3.729m ±   3%  -30.98% (p=0.002 n=6)
CompileFull/lua-8                                                                             26.72m ±   3%            18.98m ±   4%  -28.97% (p=0.002 n=6)
CompileFull/sqlite3-8                                                                        103.52m ±   3%            72.82m ±   5%  -29.65% (p=0.002 n=6)
CompileFull/ruby-8                                                                           1107.5m ±   5%            725.2m ±   3%  -34.52% (p=0.002 n=6)
CompileFull/esbuild-8                                                                         722.0m ±   3%            486.2m ±   2%  -32.67% (p=0.002 n=6)
CompileFull/isa_i32-8                                                                         420.7µ ±   5%            255.6µ ±   4%  -39.23% (p=0.002 n=6)
CompileFull/isa_i64-8                                                                         436.7µ ±   4%            260.5µ ±   5%  -40.34% (p=0.002 n=6)
CompileFull/isa_f32-8                                                                         270.7µ ±   6%            166.2µ ±   6%  -38.61% (p=0.002 n=6)
CompileFull/isa_f64-8                                                                         275.3µ ±   6%            167.2µ ±   2%  -39.25% (p=0.002 n=6)
CompileFull/isa_mem-8                                                                         209.9µ ±   6%            137.5µ ±   2%  -34.47% (p=0.002 n=6)
CompileFull/isa_bulk_mem-8                                                                    59.99µ ±   9%            50.59µ ±   3%  -15.66% (p=0.002 n=6)
CompileFull/isa_ctl-8                                                                         179.7µ ±  12%            119.5µ ±   4%  -33.51% (p=0.002 n=6)
CompileFull/isa_call-8                                                                        67.68µ ±  14%            52.83µ ±   5%  -21.94% (p=0.002 n=6)
CompileFull/isa_var-8                                                                         58.39µ ±   5%            40.72µ ±   4%  -30.26% (p=0.002 n=6)
CompileFull/isa_cvt-8                                                                        137.64µ ±   6%            95.03µ ±   2%  -30.96% (p=0.002 n=6)
CompileFull/isa_simd_v128-8                                                                   157.7µ ±   4%            101.0µ ±   4%  -35.96% (p=0.002 n=6)
CompileFull/isa_simd_i8x16-8                                                                  671.7µ ±   8%            399.6µ ±   8%  -40.51% (p=0.002 n=6)
