bounds	benchmark	unit	main	fixed	delta_percent	p
signals	BenchmarkCompileFull/sieve	allocs/op	88	90	2.2727272727272707	0.0021645021645021645
signals	BenchmarkCompileWorkers/esbuild/p4	allocs/op	19458	19897.5	2.2587110699969104	0.9372294372294372
signals	BenchmarkCompileFull/memory	allocs/op	89	91	2.2471910112359605	0.0021645021645021645
signals	BenchmarkCompileWorkers/lua/p2	allocs/op	1052.5	1076	2.232779097387172	0.0021645021645021645
explicit	BenchmarkCompileFull/memory	allocs/op	90	92	2.2222222222222143	0.0021645021645021645
explicit	BenchmarkCompileFull/linked_list	allocs/op	90	92	2.2222222222222143	0.0021645021645021645
explicit	BenchmarkCompileFull/sieve	allocs/op	91	93	2.19780219780219	0.0021645021645021645
explicit	BenchmarkCompileFull/swar-pack-parse	allocs/op	91	93	2.19780219780219	0.0021645021645021645
signals	BenchmarkCompileFull/swar-pack-parse	allocs/op	91	93	2.19780219780219	0.0021645021645021645
explicit	BenchmarkCompileFull/xjb-mulhi	allocs/op	93	95	2.1505376344086002	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_var	allocs/op	93	95	2.1505376344086002	0.0021645021645021645
signals	BenchmarkCompileFull/xjb-mulhi	allocs/op	93	95	2.1505376344086002	0.0021645021645021645
signals	BenchmarkCompileFull/isa_var	allocs/op	93	95	2.1505376344086002	0.0021645021645021645
explicit	BenchmarkCompileFull/mandelbrot	allocs/op	94	96	2.127659574468077	0.0021645021645021645
signals	BenchmarkCompileFull/mandelbrot	allocs/op	94	96	2.127659574468077	0.0021645021645021645
explicit	BenchmarkCompileFull/globals	allocs/op	95	97	2.1052631578947434	0.0021645021645021645
signals	BenchmarkCompileFull/globals	allocs/op	95	97	2.1052631578947434	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_cvt	allocs/op	96	98	2.083333333333326	0.0021645021645021645
signals	BenchmarkCompileFull/isa_cvt	allocs/op	96	98	2.083333333333326	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_simd_v128	allocs/op	97	99	2.0618556701030855	0.0021645021645021645
signals	BenchmarkCompileFull/isa_simd_v128	allocs/op	97	99	2.0618556701030855	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/tiny/p2	allocs/op	100	102	2.0000000000000018	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/tiny/p4	allocs/op	100	102	2.0000000000000018	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/tiny/p8	allocs/op	100	102	2.0000000000000018	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/tiny/p2	allocs/op	100	102	2.0000000000000018	0.0021645021645021645
