variant,run,bounds,benchmark,unit,main_median,prior_pr_median,after_median,change_vs_main_percent,p_vs_main,change_vs_prior_percent,p_vs_prior,samples_each,benchtime,note
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/json-as/p4,allocs/op,402,392,375,-6.716417910447758,0.0021645021645021645,-4.336734693877553,0.0021645021645021645,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,ns/op,466540,299055.5,348785,-25.24006516054358,0.0021645021645021645,16.628853172738832,0.0021645021645021645,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,code-B,57638,57638,57638,0,1,0,1,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,B/op,748546,756630,747374.5,-0.15650340794018947,0.3939393939393939,-1.223253109181499,0.0021645021645021645,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,allocs/op,629,620,593,-5.723370429252784,0.0021645021645021645,-4.354838709677422,0.0021645021645021645,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileFullWorkers/json-as/p8,ns/op,1214211,610280.5,665046.5,-45.22809462276326,0.0021645021645021645,8.973906261137298,0.0021645021645021645,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileFullWorkers/json-as/p8,code-B,66502,66502,66502,0,1,0,1,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileFullWorkers/json-as/p8,B/op,877228,888666,878738,0.17213312844550632,0.025974025974025976,-1.1171801329183273,0.0021645021645021645,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileFullWorkers/json-as/p8,allocs/op,965,960,932,-3.4196891191709877,0.0021645021645021645,-2.9166666666666674,0.0021645021645021645,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/lua/p4,ns/op,7502955,4284203,4327515.5,-42.32251826113844,0.0021645021645021645,1.010981505778319,0.30952380952380953,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/lua/p4,code-B,890004,890004,890004,0,1,0,1,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/lua/p4,B/op,4399178,4425805.5,4422561.5,0.5315424836185301,0.008658008658008658,-0.07329739185329975,0.5887445887445888,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/lua/p4,allocs/op,1491,1470,1469.5,-1.4419852448021464,0.0021645021645021645,-0.03401360544217358,0.7922077922077922,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/lua/p8,ns/op,6447250.5,3163015,3204292.5,-50.29986038234438,0.0021645021645021645,1.305004876676219,0.17965367965367965,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/lua/p8,code-B,890004,890004,890004,0,1,0,1,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/lua/p8,B/op,5307715.5,5338667,5337244.5,0.5563410472923858,0.06493506493506493,-0.026645228106569885,0.5887445887445888,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/lua/p8,allocs/op,2214,2174.5,2174.5,-1.7841011743450763,0.0021645021645021645,0,0.8484848484848485,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/esbuild/p4,ns/op,179580419,95128239.5,93330536.5,-48.02855622026364,0.0021645021645021645,-1.8897679694787173,0.04112554112554113,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/esbuild/p4,code-B,26622496,26622496,26622496,0,1,0,1,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/esbuild/p4,B/op,121563978.5,121609579,121504830.5,-0.048655860666813044,0.8181818181818182,-0.0861350732905719,0.9372294372294372,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/esbuild/p4,allocs/op,19232,19241,18989,-1.2635191347753705,0.5541125541125541,-1.3097032378774465,0.7770562770562771,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/sqlite3/p8,ns/op,22311803.5,9715320,9938798.5,-55.45497476257354,0.0021645021645021645,2.3002690595883557,0.30952380952380953,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/sqlite3/p8,code-B,3636329,3636329,3636329,0,1,0,1,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/sqlite3/p8,B/op,16407907,16167739,16388966,-0.11543824571896844,0.5887445887445888,1.368323672221572,0.48484848484848486,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-explicit,explicit,BenchmarkCompileWorkers/sqlite3/p8,allocs/op,4508.5,4515.5,4518,0.21071309748252887,0.004329004329004329,0.05536485439043837,0.24242424242424243,6,500ms,rejected serial-gate experiment
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/json-as/p2,ns/op,955280,723622.5,757520,-20.701783770203498,0.025974025974025976,4.684417634885585,0.48484848484848486,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/json-as/p2,code-B,57638,57638,57638,0,1,0,1,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/json-as/p2,B/op,432688,432292,434248,0.3605369226787003,0.48484848484848486,0.45247194026261095,0.3939393939393939,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/json-as/p2,allocs/op,266.5,247.5,244.5,-8.25515947467167,0.0021645021645021645,-1.2121212121212088,0.15367965367965367,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/json-as/p4,ns/op,886947.5,621626.5,728171,-17.901454144692895,0.06493506493506493,17.139632882446286,0.06493506493506493,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/json-as/p4,code-B,57638,57638,57638,0,1,0,1,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/json-as/p4,B/op,559568,552608,561056,0.2659194235553164,0.8181818181818182,1.5287509409925404,0.3939393939393939,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/json-as/p4,allocs/op,403.5,397,379.5,-5.947955390334569,0.0021645021645021645,-4.408060453400509,0.0021645021645021645,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/json-as/p8,ns/op,984039,785172.5,747481.5,-24.03944355863944,0.04112554112554113,-4.8003464206909925,0.6991341991341992,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/json-as/p8,code-B,57638,57638,57638,0,1,0,1,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/json-as/p8,B/op,749144,761596,758464,1.2440865841547133,0.24025974025974026,-0.4112416556809606,0.9372294372294372,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/json-as/p8,allocs/op,569,635,527.5,-7.293497363796131,0.17965367965367965,-16.92913385826772,0.0021645021645021645,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileFullWorkers/json-as/p8,ns/op,1690384,1125883.5,1381236,-18.288625543071866,0.015151515151515152,22.680188491970977,0.09307359307359307,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileFullWorkers/json-as/p8,code-B,55941,55941,55941,0,1,0,1,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileFullWorkers/json-as/p8,B/op,833676,848812,854588,2.50840854240737,0.30952380952380953,0.6804804833107969,0.9372294372294372,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileFullWorkers/json-as/p8,allocs/op,933,941,915.5,-1.87566988210075,0.1645021645021645,-2.7098831030818227,0.04112554112554113,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/lua/p4,ns/op,7605808.5,4513624,4314031,-43.27978412814364,0.0021645021645021645,-4.4220121126615775,0.09307359307359307,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/lua/p4,code-B,890004,890004,890004,0,1,0,1,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/lua/p4,B/op,4346764,4416784,4445072,2.2616364725575266,0.0021645021645021645,0.6404660042238941,0.30952380952380953,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/lua/p4,allocs/op,1496.5,1467.5,1490,-0.4343468092215197,0.79004329004329,1.5332197614991383,0.13203463203463203,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/lua/p8,ns/op,6602242,3448734.5,3222857.5,-51.18540792658008,0.0021645021645021645,-6.5495618755227465,0.04112554112554113,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/lua/p8,code-B,890004,890004,890004,0,1,0,1,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/lua/p8,B/op,5282268,5373864,5327132,0.849332142935566,0.5887445887445888,-0.8696163505440446,0.9372294372294372,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/lua/p8,allocs/op,2249,2203.5,2190,-2.623388172521124,0.004329004329004329,-0.6126616746085722,0.1406926406926407,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/esbuild/p4,ns/op,182172623,92548996,90482183,-50.33162419800037,0.0021645021645021645,-2.2332095315220957,0.04112554112554113,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/esbuild/p4,code-B,26622496,26622496,26622496,0,1,0,1,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/esbuild/p4,B/op,122017716,120239508,120851256,-0.9559759338553797,0.3939393939393939,0.5087745369017904,0.5887445887445888,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/esbuild/p4,allocs/op,20155.5,18534.5,19733.5,-2.093721316762176,0.24025974025974026,6.469017238123498,0.17965367965367965,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/sqlite3/p8,ns/op,21825107,9801451.5,9076406.5,-58.41300342765787,0.0021645021645021645,-7.397322733270684,0.0021645021645021645,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/sqlite3/p8,code-B,3636329,3636329,3636329,0,1,0,1,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/sqlite3/p8,B/op,16612264,16478020,15672852,-5.65493059826162,0.004329004329004329,-4.88631522476608,0.025974025974025976,6,1x,"memory check, not a timing claim"
hintwork,hintwork-cold-signals,signals,BenchmarkCompileWorkers/sqlite3/p8,allocs/op,4477,4543,4558.5,1.8204154567790898,0.008658008658008658,0.34118423948932275,0.9372294372294372,6,1x,"memory check, not a timing claim"
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/json-as/p2,ns/op,647655,497886.5,514304,-20.58982019748168,0.0021645021645021645,3.297438271573938,0.0021645021645021645,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/json-as/p2,code-B,57638,57638,57638,0,1,0,1,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/json-as/p2,B/op,433807,437032,433526.5,-0.06466009077769064,0.015151515151515152,-0.8021151769206813,0.0021645021645021645,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/json-as/p2,allocs/op,264,249,241,-8.712121212121215,0.0021645021645021645,-3.2128514056224855,0.0021645021645021645,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/json-as/p4,ns/op,505062.5,337266.5,385122.5,-23.74755599554511,0.0021645021645021645,14.189372499195741,0.0021645021645021645,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/json-as/p4,code-B,57638,57638,57638,0,1,0,1,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/json-as/p4,B/op,551968,558779.5,552254.5,0.05190518290916213,0.30952380952380953,-1.1677235832739052,0.0021645021645021645,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/json-as/p4,allocs/op,402,392,375,-6.716417910447758,0.0021645021645021645,-4.336734693877553,0.0021645021645021645,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/json-as/p8,ns/op,467613.5,299295.5,350284.5,-25.091020682679176,0.0021645021645021645,17.03634033922996,0.0021645021645021645,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/json-as/p8,code-B,57638,57638,57638,0,1,0,1,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/json-as/p8,B/op,747788.5,756123.5,746859.5,-0.12423298833827978,0.5887445887445888,-1.2251966775268852,0.0021645021645021645,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/json-as/p8,allocs/op,629.5,619.5,593,-5.798252581413821,0.0021645021645021645,-4.277643260694108,0.0021645021645021645,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileFullWorkers/json-as/p8,ns/op,1223637.5,584607.5,636827.5,-47.95619617738096,0.0021645021645021645,8.932488892119927,0.0021645021645021645,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileFullWorkers/json-as/p8,code-B,55941,55941,55941,0,1,0,1,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileFullWorkers/json-as/p8,B/op,830310,845446,833464.5,0.3799183437511289,0.0021645021645021645,-1.4171809908616328,0.0021645021645021645,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileFullWorkers/json-as/p8,allocs/op,911,906,878,-3.6223929747530192,0.0021645021645021645,-3.0905077262693204,0.0021645021645021645,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/lua/p4,ns/op,7452292.5,4286977.5,4285661.5,-42.492038523716026,0.0021645021645021645,-0.030697618543595873,0.9372294372294372,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/lua/p4,code-B,890004,890004,890004,0,1,0,1,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/lua/p4,B/op,4397471.5,4427722,4427474,0.6822670709747625,0.0021645021645021645,-0.0056010743221923676,0.8181818181818182,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/lua/p4,allocs/op,1491.5,1468.5,1468,-1.5755950385517914,0.0021645021645021645,-0.03404834865509132,0.1406926406926407,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/lua/p8,ns/op,6482508.5,3187244,3216311.5,-50.384770031539496,0.0021645021645021645,0.9119948143286205,0.8181818181818182,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/lua/p8,code-B,890004,890004,890004,0,1,0,1,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/lua/p8,B/op,5288703,5327019,5331085,0.8013685018803285,0.0021645021645021645,0.07632786742453046,0.48484848484848486,6,500ms,rejected serial-gate experiment
