group,workload,wago_ns_per_op,wazero_ns_per_op,wago_over_wazero,wago_bytes_per_op,wago_allocs_per_op,wago_calls_per_batch
BenchmarkCompileFull,memory,28143.0,96239.0,0.292428225563441,22136.0,114.0,1
BenchmarkCompileFull,embench-nettle-aes,292086.0,1030618.0,0.2834085956193274,208378.0,186.0,1
BenchmarkCompileFull,embench-matmult-int,170919.0,611846.0,0.2793497056448845,108225.0,165.0,1
BenchmarkCompileFull,json-as,1544840.0,5622746.0,0.2747483169255734,306371.0,408.0,1
BenchmarkCompileFull,json-as-simd,1727498.0,6347989.0,0.2721331117618509,327131.0,440.0,1
BenchmarkCompileFull,polybench-fdtd-2d,246488.0,920387.0,0.26780908465678027,185602.0,190.0,1
BenchmarkCompileFull,sightglass-libsodium-hash,3918999.0,14652188.0,0.26746851732997146,662648.0,694.0,1
BenchmarkCompileFull,raytrace,323478.0,1229340.0,0.26313143638049685,207883.0,204.0,1
BenchmarkCompileFull,libtommath,3072272.0,11680586.0,0.263023790073546,492382.0,486.0,1
BenchmarkCompileFull,qoi,239079.0,926285.0,0.25810522679304965,114513.0,223.0,1
BenchmarkCompileFull,coremark,721837.0,2821024.0,0.2558776529373731,338187.0,222.0,1
BenchmarkCompileFull,nanosvg,4270601.0,16829212.0,0.25376119808818143,651433.0,565.0,1
BenchmarkCompileFull,wren,10190041.0,40557839.0,0.25124713868507637,1339898.0,1288.0,1
BenchmarkCompileFull,nbody,103865.0,416051.0,0.24964487526769555,87392.0,161.0,1
BenchmarkCompileFull,wren-modulo,10091999.0,40725101.0,0.24780783232434464,1339898.0,1288.0,1
BenchmarkCompileFull,polybench-seidel-2d,131546.0,532642.0,0.24696888341512685,98089.0,191.0,1
BenchmarkCompileFull,kissfft,1331865.0,5393209.0,0.24695223196430918,468031.0,332.0,1
BenchmarkCompileFull,polybench-nussinov,168763.0,686004.0,0.24600876962816542,103657.0,193.0,1
BenchmarkCompileFull,polybench-floyd-warshall,129814.0,530162.0,0.24485723231766893,96209.0,186.0,1
BenchmarkCompileFull,polybench-jacobi-1d,128073.0,527342.0,0.2428651615080915,95721.0,184.0,1
BenchmarkCompileFull,polybench-doitgen,222294.0,935295.0,0.23767260596923964,175786.0,194.0,1
BenchmarkCompileFull,polybench-durbin,157362.0,667515.0,0.23574301701085368,102465.0,191.0,1
BenchmarkCompileFull,polybench-trisolv,151079.0,641514.0,0.23550382376690143,102353.0,189.0,1
BenchmarkCompileFull,embench-qrduino,1442130.0,6155066.0,0.23429968094574452,757131.0,255.0,1
BenchmarkCompileFull,polybench-trmm,172830.0,740757.0,0.23331537872743693,108385.0,192.0,1
BenchmarkCompileFull,polybench-syr2k,169652.0,730412.0,0.23226891124461263,107377.0,193.0,1
BenchmarkCompileFull,polybench-jacobi-2d,141923.0,611774.0,0.2319859948281555,100225.0,186.0,1
BenchmarkCompileFull,embench-huffbench,295690.0,1279812.0,0.23104174675655487,196426.0,209.0,1
BenchmarkCompileFull,polybench-symm,192882.0,837309.0,0.23035940136795377,112497.0,191.0,1
BenchmarkCompileFull,polybench-correlation,187590.0,814987.0,0.23017545065136008,110353.0,192.0,1
BenchmarkCompileFull,lua,14990893.0,65187559.0,0.22996555216924136,2269563.0,1530.0,1
BenchmarkCompileFull,polybench-bicg,167809.0,730820.0,0.22961741605320052,107105.0,188.0,1
BenchmarkCompileFull,polybench-atax,156524.0,682821.0,0.22923137981989422,100937.0,184.0,1
BenchmarkCompileFull,polybench-gesummv,151376.0,661293.0,0.22890912197770127,100913.0,184.0,1
BenchmarkCompileFull,polybench-syrk,165025.0,722404.0,0.22843865759325807,106073.0,191.0,1
BenchmarkCompileFull,sightglass-shootout-base64,2754876.0,12131451.0,0.22708544921790477,692555.0,640.0,1
BenchmarkCompileFull,polybench-covariance,164692.0,727108.0,0.22650280288485342,103001.0,185.0,1
BenchmarkCompileFull,polybench-gemm,164484.0,729868.0,0.22536129820734707,105177.0,188.0,1
BenchmarkCompileFull,polybench-deriche,203952.0,905952.0,0.2251245099078097,116025.0,195.0,1
BenchmarkCompileFull,polybench-gramschmidt,181330.0,807199.0,0.22464101169600062,109169.0,190.0,1
BenchmarkCompileFull,polybench-mvt,173487.0,773276.0,0.2243532710183686,108489.0,187.0,1
BenchmarkCompileFull,sha256,103615.0,464019.0,0.22329904594423935,85001.0,165.0,1
BenchmarkCompileFull,polybench-adi,233409.0,1048669.0,0.2225764278337588,177538.0,197.0,1
BenchmarkCompileFull,polybench-heat-3d,196546.0,889364.0,0.22099612756981393,118473.0,195.0,1
BenchmarkCompileFull,polybench-2mm,193386.0,882834.0,0.21905137319133608,112289.0,190.0,1
BenchmarkCompileFull,drwav,2391602.0,11104922.0,0.21536414213445174,645403.0,529.0,1
BenchmarkCompileFull,polybench-cholesky,203789.0,949547.0,0.21461707530011678,112265.0,194.0,1
BenchmarkCompileFull,polybench-3mm,229552.0,1073040.0,0.21392678744501603,177098.0,196.0,1
BenchmarkCompileFull,polybench-gemver,221019.0,1041620.0,0.2121877460110213,176314.0,195.0,1
BenchmarkCompileFull,polybench-lu,198183.0,946184.0,0.20945503200223212,110601.0,194.0,1
BenchmarkCompileFull,tacle-bsort,45212.0,218076.0,0.20732221794236871,40128.0,117.0,1
BenchmarkCompileFull,linked_list,20089.0,97013.0,0.20707534041829445,21288.0,100.0,1
BenchmarkCompileFull,tinyxml2,3777271.0,18247767.0,0.2069990810382443,837199.0,605.0,1
BenchmarkCompileFull,polybench-ludcmp,268820.0,1323443.0,0.20312170603494067,182210.0,200.0,1
BenchmarkCompileFull,matmul,73904.0,375729.0,0.1966949583343314,77552.0,159.0,1
BenchmarkCompileFull,lz4,204018.0,1043058.0,0.19559602629959216,104809.0,174.0,1
BenchmarkCompileFull,cjson,3698171.0,18959623.0,0.195055091549025,573944.0,589.0,1
BenchmarkCompileFull,miniz,2720400.0,14077515.0,0.19324433325057724,661165.0,355.0,1
BenchmarkCompileFull,lodepng,6885247.0,36177015.0,0.19032103671350442,1505239.0,601.0,1
BenchmarkCompileFull,fastfloat,1636479.0,8927762.0,0.18330226545017664,819780.0,274.0,1
BenchmarkCompileFull,fannkuch,126151.0,701357.0,0.17986702920196135,88448.0,172.0,1
BenchmarkCompileFull,zlib,1206413.0,6721099.0,0.17949638890901623,505214.0,333.0,1
BenchmarkCompileFull,zstd,4314293.0,27843897.0,0.15494573191389122,1629836.0,452.0,1
BenchmarkCompileFull,yyjson,8467556.0,59685520.0,0.141869518771052,4024236.0,1181.0,1
BenchmarkCompileFull,pcre2,14089447.0,167989940.0,0.08387077821445736,5567644.0,1278.0,1
BenchmarkInstantiate,utf8proc,112278.0,53034.0,2.1170946939699062,1464.0,6.0,1
BenchmarkInstantiate,pcre2,46783.0,34587.0,1.352618035678145,1464.0,6.0,1
BenchmarkInstantiate,utf-as-simd,15487.0,20063.0,0.7719184568608882,1992.0,20.0,1
BenchmarkInstantiate,utf-as,14261.0,19080.0,0.7474318658280923,1464.0,6.0,1
BenchmarkInstantiate,json-as-simd,11541.0,17844.0,0.6467720242098184,3176.0,20.0,1
BenchmarkInstantiate,json-as,11261.0,17695.0,0.6363944617123481,3176.0,20.0,1
BenchmarkInstantiate,yyjson,11873.0,21449.0,0.5535456198424169,1464.0,6.0,1
BenchmarkInstantiate,nanosvg,10514.0,22350.0,0.4704250559284116,1464.0,6.0,1
BenchmarkInstantiate,dispatch,3885.0,8770.0,0.4429874572405929,1408.0,4.0,1
BenchmarkInstantiate,fastfloat,8839.0,20444.0,0.43235179025630993,1464.0,6.0,1
BenchmarkInstantiate,many_funcs,3558.0,8269.0,0.4302817753053574,1408.0,4.0,1
BenchmarkInstantiate,tiny,3526.0,8308.0,0.42441020702936927,1408.0,4.0,1
BenchmarkInstantiate,fib_rec,3474.0,8341.0,0.4164968229229109,1408.0,4.0,1
BenchmarkInstantiate,blake-as,6299.0,15314.0,0.41132297244351573,2096.0,6.0,1
BenchmarkInstantiate,blake-as-simd,6218.0,15578.0,0.3991526511747336,2096.0,6.0,1
BenchmarkInstantiate,libtommath,7009.0,19651.0,0.35667396061269147,1464.0,6.0,1
BenchmarkInstantiate,drwav,6627.0,19842.0,0.3339885092228606,1464.0,6.0,1
BenchmarkInstantiate,polybench-covariance,5984.0,18832.0,0.3177570093457944,1464.0,6.0,1
BenchmarkInstantiate,polybench-floyd-warshall,5996.0,18932.0,0.3167124445383478,1464.0,6.0,1
BenchmarkInstantiate,polybench-atax,5998.0,18992.0,0.3158171861836563,1464.0,6.0,1
BenchmarkInstantiate,polybench-jacobi-1d,6019.0,19061.0,0.31577566759351555,1464.0,6.0,1
BenchmarkInstantiate,polybench-trisolv,5995.0,19007.0,0.31541011206397646,1464.0,6.0,1
BenchmarkInstantiate,polybench-ludcmp,6000.0,19037.0,0.31517571045858067,1464.0,6.0,1
BenchmarkInstantiate,polybench-gemm,5990.0,19007.0,0.3151470510864418,1464.0,6.0,1
BenchmarkInstantiate,polybench-bicg,5982.0,19011.0,0.31465993372258166,1464.0,6.0,1
BenchmarkInstantiate,polybench-gramschmidt,5980.0,19005.0,0.31465403841094447,1464.0,6.0,1
BenchmarkInstantiate,polybench-jacobi-2d,6006.0,19092.0,0.31458202388434947,1464.0,6.0,1
BenchmarkInstantiate,polybench-trmm,6026.0,19171.0,0.3143289343278911,1464.0,6.0,1
BenchmarkInstantiate,polybench-syrk,6019.0,19161.0,0.31412765513282187,1464.0,6.0,1
BenchmarkInstantiate,polybench-2mm,5925.0,18967.0,0.3123846681077661,1464.0,6.0,1
BenchmarkInstantiate,polybench-3mm,5971.0,19131.0,0.31211123307720456,1464.0,6.0,1
BenchmarkInstantiate,polybench-correlation,5961.0,19104.0,0.3120288944723618,1464.0,6.0,1
BenchmarkInstantiate,polybench-lu,5966.0,19123.0,0.31198033781310464,1464.0,6.0,1
BenchmarkInstantiate,polybench-doitgen,6000.0,19247.0,0.3117368940614122,1464.0,6.0,1
BenchmarkInstantiate,polybench-gemver,6031.0,19355.0,0.31159907000774995,1464.0,6.0,1
BenchmarkInstantiate,polybench-cholesky,5995.0,19242.0,0.3115580500987423,1464.0,6.0,1
BenchmarkInstantiate,polybench-heat-3d,5995.0,19244.0,0.3115256703388069,1464.0,6.0,1
BenchmarkInstantiate,polybench-gesummv,6017.0,19320.0,0.31143892339544516,1464.0,6.0,1
BenchmarkInstantiate,polybench-symm,5987.0,19236.0,0.31123934289873156,1464.0,6.0,1
BenchmarkInstantiate,polybench-mvt,5980.0,19235.0,0.31089160384715364,1464.0,6.0,1
BenchmarkInstantiate,polybench-syr2k,5994.0,19290.0,0.31073094867807155,1464.0,6.0,1
BenchmarkInstantiate,kissfft,5962.0,19189.0,0.3106988378758664,1464.0,6.0,1
BenchmarkInstantiate,polybench-deriche,6002.0,19341.0,0.31032521586267514,1464.0,6.0,1
BenchmarkInstantiate,polybench-seidel-2d,5985.0,19387.0,0.3087120235209161,1464.0,6.0,1
BenchmarkInstantiate,polybench-adi,5966.0,19347.0,0.30836822246343104,1464.0,6.0,1
BenchmarkInstantiate,polybench-fdtd-2d,5943.0,19295.0,0.3080072557657424,1464.0,6.0,1
BenchmarkInstantiate,polybench-durbin,6000.0,19484.0,0.3079449804968179,1464.0,6.0,1
BenchmarkInstantiate,monocypher,5886.0,19184.0,0.3068181818181818,1464.0,6.0,1
BenchmarkInstantiate,polybench-nussinov,5988.0,19525.0,0.30668373879641486,1464.0,6.0,1
BenchmarkInstantiate,coremark,5894.0,19480.0,0.30256673511293636,1464.0,6.0,1
BenchmarkInstantiate,memory,3486.0,13317.0,0.2617706690696103,1408.0,4.0,1
BenchmarkInstantiate,memory_tree,3463.0,13653.0,0.2536438877902292,1408.0,4.0,1
BenchmarkInstantiate,xxhash,5874.0,28640.0,0.2050977653631285,1408.0,4.0,1
BenchmarkInstantiate,linked_list,3845.0,27447.0,0.14008816992749662,1408.0,4.0,1
BenchmarkInstantiate,blake3,10615.0,82965.0,0.1279455191948412,1464.0,6.0,1
BenchmarkInstantiate,miniz,10908.0,85977.0,0.12687113995603475,1464.0,6.0,1
BenchmarkInstantiate,sha256,10728.0,89088.0,0.12042025862068965,1560.0,6.0,1
BenchmarkInstantiate,nbody,8700.0,79953.0,0.1088139281828074,1560.0,6.0,1
BenchmarkInstantiate,fannkuch,8676.0,81160.0,0.10689995071463776,1560.0,6.0,1
BenchmarkInstantiate,matmul,8660.0,81792.0,0.1058783255086072,1560.0,6.0,1
BenchmarkInstantiate,raytrace,8557.0,82611.0,0.10358184745372892,1560.0,6.0,1
BenchmarkInstantiate,zlib,11329.0,170396.0,0.06648630249536375,1464.0,6.0,1
BenchmarkInstantiate,zstd,11610.0,175818.0,0.0660341944510801,1464.0,6.0,1
BenchmarkInstantiate,lz4,11125.0,169105.0,0.06578752845864995,1464.0,6.0,1
BenchmarkInstantiate,qoi,9025.0,157644.0,0.05724924513460709,1464.0,6.0,1
BenchmarkCommandExec,tinyxml2,43926.0,28064.0,1.565208095781072,39112.0,478.0,1
BenchmarkCommandExec,cjson,36177.0,25876.0,1.398090895037873,38472.0,467.0,1
BenchmarkCommandExec,sightglass-shootout-base64,3226466.0,3062565.0,1.0535175579946874,46952.0,574.0,1
BenchmarkCommandExec,lua,126625.0,137039.0,0.9240070344938303,41896.0,524.0,1
BenchmarkCommandExec,embench-crc32,366976.0,426932.0,0.8595654577309736,37184.0,440.0,1
BenchmarkCommandExec,embench-nettle-sha256,231912.0,303185.0,0.7649191087949602,37240.0,442.0,1
BenchmarkCommandExec,embench-matmult-int,155314.0,243331.0,0.6382828328490822,37184.0,440.0,1
BenchmarkCommandExec,embench-huffbench,317788.0,512484.0,0.6200935053582161,37240.0,442.0,1
BenchmarkCommandExec,wren-modulo,932828.0,1512858.0,0.6165998395090616,38472.0,467.0,1
BenchmarkCommandExec,wren,562752.0,948897.0,0.5930590991435319,38472.0,467.0,1
BenchmarkCommandExec,lodepng,2523612.0,4305559.0,0.5861287698066616,37800.0,456.0,1
BenchmarkCommandExec,embench-qrduino,242207.0,473583.0,0.511435165535925,37184.0,440.0,1
BenchmarkCommandExec,embench-nettle-aes,230464.0,463435.0,0.4972951978163065,37184.0,440.0,1
BenchmarkCommandExec,tacle-bsort,8766.0,30259.0,0.2896989325489937,1729.0,8.0,1
BenchmarkCommandExec,sightglass-libsodium-hash,117341.0,718294.0,0.16336068517904925,48624.0,605.0,1
