goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/guard-reuse-16     	    1000	     24036 ns/op	        16.00 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/guard-reuse-16     	    1000	     24491 ns/op	        16.00 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/guard-reuse-16     	    1000	     23368 ns/op	        16.00 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/guard-fresh-16     	    1000	     34053 ns/op	        17.00 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/guard-fresh-16     	    1000	     36555 ns/op	        17.00 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/guard-fresh-16     	    1000	     34477 ns/op	        17.00 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/guard-fresh-16     	    1000	     33942 ns/op	        17.00 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/guard-fresh-16     	    1000	     34203 ns/op	        17.00 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/guard-fresh-16     	    1000	     35172 ns/op	        17.00 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/guard-fresh-16     	    1000	     34493 ns/op	        17.00 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/guard-fresh-16     	    1000	     34149 ns/op	        17.00 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/guard-fresh-16     	    1000	     34285 ns/op	        17.00 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/guard-fresh-16     	    1000	     34119 ns/op	        17.02 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/explicit-reuse-16  	    1000	      1822 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/explicit-reuse-16  	    1000	      1579 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/explicit-reuse-16  	    1000	      1667 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/explicit-reuse-16  	    1000	      1441 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/explicit-reuse-16  	    1000	      1621 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/explicit-reuse-16  	    1000	      1420 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/explicit-reuse-16  	    1000	      1415 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/explicit-reuse-16  	    1000	      1412 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/explicit-reuse-16  	    1000	      1413 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/explicit-reuse-16  	    1000	      1678 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/guard-reuse-16         	    1000	      3381 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/guard-reuse-16         	    1000	      3393 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/guard-reuse-16         	    1000	      3386 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
