goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=0-16         	  122199	       853.5 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    1560 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=0-16         	  123540	       857.4 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    1560 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=0-16         	  120206	       878.6 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    1560 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=0-16         	  140600	       861.8 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    1560 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=0-16         	  135980	       858.7 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    1560 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=0-16         	  134168	       864.0 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    1560 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=0-16         	  129584	       924.8 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    1560 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=0-16         	  135432	       869.7 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    1560 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=0-16         	  127545	       856.6 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    1560 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=0-16         	  142723	       875.8 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    1560 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=1-16          	   15675	      7434 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    8027 B/op	      22 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=1-16          	   16954	      7141 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    7949 B/op	      22 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=1-16          	   17188	      6910 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    7944 B/op	      22 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=1-16          	   17535	      6842 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    7958 B/op	      22 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=1-16          	   17496	      6865 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    7944 B/op	      22 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=1-16          	   15903	      6556 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    7944 B/op	      22 allocs/op
