goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkWorkerLifecycleDiagnostic/json-as/single/full-16                    	      79	   1512056 ns/op	     16651 body-bytes	         1.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  306256 B/op	     407 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/single/full-16                    	      76	   1563971 ns/op	     16651 body-bytes	         1.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  306258 B/op	     407 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/concurrent/full-16                	     568	    199941 ns/op	     16651 body-bytes	         1.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  306234 B/op	     407 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/concurrent/full-16                	     642	    199739 ns/op	     16651 body-bytes	         1.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  306236 B/op	     407 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/concurrent/full-16                	     669	    199512 ns/op	     16651 body-bytes	         1.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  306232 B/op	     407 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/concurrent/full-16                	     625	    203349 ns/op	     16651 body-bytes	         1.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  306233 B/op	     407 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/concurrent/full-16                	     663	    200144 ns/op	     16651 body-bytes	         1.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  306232 B/op	     407 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/concurrent/full-16                	     626	    214223 ns/op	     16651 body-bytes	         1.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  306233 B/op	     407 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/concurrent/full-16                	     532	    199484 ns/op	     16651 body-bytes	         1.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  306234 B/op	     407 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/concurrent/full-16                	     652	    199437 ns/op	     16651 body-bytes	         1.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  306233 B/op	     407 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/concurrent/full-16                	     616	    201982 ns/op	     16651 body-bytes	         1.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  306233 B/op	     407 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/concurrent/full-16                	     676	    203310 ns/op	     16651 body-bytes	         1.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  306232 B/op	     407 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/single/full-16                        	       7	  14795820 ns/op	    176047 body-bytes	         1.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 2269755 B/op	    1530 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/single/full-16                        	       7	  15073096 ns/op	    176047 body-bytes	         1.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 2269755 B/op	    1530 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/single/full-16                        	       7	  14898889 ns/op	    176047 body-bytes	         1.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 2269755 B/op	    1530 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/single/full-16                        	       8	  14786942 ns/op	    176047 body-bytes	         1.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 2269709 B/op	    1529 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/single/full-16                        	       7	  15009110 ns/op	    176047 body-bytes	         1.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 2269714 B/op	    1529 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/single/full-16                        	       7	  14978636 ns/op	    176047 body-bytes	         1.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 2269755 B/op	    1530 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/single/full-16                        	       7	  14916660 ns/op	    176047 body-bytes	         1.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 2269755 B/op	    1530 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/single/full-16                        	       7	  15038298 ns/op	    176047 body-bytes	         1.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 2269755 B/op	    1530 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/single/full-16                        	       7	  14839487 ns/op	    176047 body-bytes	         1.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 2269755 B/op	    1530 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/single/full-16                        	       7	  14653901 ns/op	    176047 body-bytes	         1.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 2269755 B/op	    1530 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/concurrent/full-16                    	      61	   1894059 ns/op	    176047 body-bytes	         1.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 2269487 B/op	    1529 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/concurrent/full-16                    	      61	   2027382 ns/op	    176047 body-bytes	         1.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 2269483 B/op	    1529 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/concurrent/full-16                    	      55	   2074328 ns/op	    176047 body-bytes	         1.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 2269493 B/op	    1529 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/concurrent/full-16                    	      62	   2052297 ns/op	    176047 body-bytes	         1.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 2269481 B/op	    1529 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/concurrent/full-16                    	      50	   2174607 ns/op	    176047 body-bytes	         1.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 2269506 B/op	    1529 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/concurrent/full-16                    	      58	   2081723 ns/op	    176047 body-bytes	         1.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 2269489 B/op	    1529 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/concurrent/full-16                    	      54	   1998438 ns/op	    176047 body-bytes	         1.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 2269494 B/op	    1529 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/concurrent/full-16                    	      63	   1906925 ns/op	    176047 body-bytes	         1.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 2269486 B/op	    1529 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/concurrent/full-16                    	      60	   1929845 ns/op	    176047 body-bytes	         1.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 2269485 B/op	    1529 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/concurrent/full-16                    	      60	   2045612 ns/op	    176047 body-bytes	         1.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 2269484 B/op	    1529 allocs/op
