goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkInstanceLifecycleDiagnostic/xxhash/Lifecycle-16           	     100	      7990 ns/op	    1408 B/op	       4 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Lifecycle-16           	     100	      6874 ns/op	    1408 B/op	       4 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Lifecycle-16           	     100	      6921 ns/op	    1408 B/op	       4 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Lifecycle-16           	     100	      7184 ns/op	    1408 B/op	       4 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Lifecycle-16           	     100	      8257 ns/op	    1408 B/op	       4 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Lifecycle-16           	     100	      8359 ns/op	    1408 B/op	       4 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Lifecycle-16           	     100	      6816 ns/op	    1408 B/op	       4 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Lifecycle-16           	     100	      6754 ns/op	    1408 B/op	       4 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Lifecycle-16           	     100	      8139 ns/op	    1408 B/op	       4 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Lifecycle-16           	     100	      6510 ns/op	    1408 B/op	       4 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/FirstCompiled-16        	     100	    269040 ns/op	    5566 B/op	      99 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/FirstCompiled-16        	     100	    290295 ns/op	    5571 B/op	      99 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/FirstCompiled-16        	     100	    273273 ns/op	    5572 B/op	      99 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/FirstCompiled-16        	     100	    274800 ns/op	    5571 B/op	      99 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/FirstCompiled-16        	     100	    281898 ns/op	    5576 B/op	     100 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/FirstCompiled-16        	     100	    259466 ns/op	    5573 B/op	      99 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/FirstCompiled-16        	     100	    272512 ns/op	    5568 B/op	      99 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/FirstCompiled-16        	     100	    288875 ns/op	    5571 B/op	      99 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/FirstCompiled-16        	     100	    285449 ns/op	    5562 B/op	      99 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/FirstCompiled-16        	     100	    290687 ns/op	    5568 B/op	      99 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Instantiate-16          	     100	     38215 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Instantiate-16          	     100	     36710 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Instantiate-16          	     100	     38184 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Instantiate-16          	     100	     38222 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Instantiate-16          	     100	     35930 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Instantiate-16          	     100	     37858 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Instantiate-16          	     100	     39110 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Instantiate-16          	     100	     35270 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Instantiate-16          	     100	     35618 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Instantiate-16          	     100	     35757 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Close-16                	     100	     12195 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Close-16                	     100	     12683 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Close-16                	     100	     12309 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Close-16                	     100	     13568 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Close-16                	     100	     12898 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Close-16                	     100	     12375 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Close-16                	     100	     12957 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Close-16                	     100	     11822 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Close-16                	     100	     12500 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Close-16                	     100	     12746 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Lifecycle-16            	     100	     48408 ns/op	    1464 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Lifecycle-16            	     100	     56885 ns/op	    1464 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Lifecycle-16            	     100	     49591 ns/op	    1464 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Lifecycle-16            	     100	     46180 ns/op	    1464 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Lifecycle-16            	     100	     49024 ns/op	    1464 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Lifecycle-16            	     100	     46483 ns/op	    1464 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Lifecycle-16            	     100	     48413 ns/op	    1464 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Lifecycle-16            	     100	     57096 ns/op	    1464 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Lifecycle-16            	     100	     49512 ns/op	    1464 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/pcre2/Lifecycle-16            	     100	     46197 ns/op	    1464 B/op	       6 allocs/op
PASS
