goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkCommandLifecycleDiagnostic/cjson/Close-16                      	    1000	      8591 ns/op	     384 B/op	       7 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Close-16                      	    1000	      7967 ns/op	     384 B/op	       7 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Close-16                      	    1000	      8412 ns/op	     384 B/op	       7 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Close-16                      	    1000	      8415 ns/op	     384 B/op	       7 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Close-16                      	    1000	      8435 ns/op	     384 B/op	       7 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Close-16                      	    1000	      8556 ns/op	     384 B/op	       7 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Lifecycle-16                  	    1000	     41153 ns/op	   38472 B/op	     467 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Lifecycle-16                  	    1000	     40101 ns/op	   38472 B/op	     467 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Lifecycle-16                  	    1000	     38927 ns/op	   38472 B/op	     467 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Lifecycle-16                  	    1000	     42892 ns/op	   38472 B/op	     467 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Lifecycle-16                  	    1000	     42595 ns/op	   38472 B/op	     467 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Lifecycle-16                  	    1000	     39349 ns/op	   38472 B/op	     467 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Lifecycle-16                  	    1000	     39270 ns/op	   38472 B/op	     467 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Lifecycle-16                  	    1000	     40279 ns/op	   38472 B/op	     467 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Lifecycle-16                  	    1000	     38785 ns/op	   38472 B/op	     467 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Lifecycle-16                  	    1000	     38438 ns/op	   38472 B/op	     467 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Imports-16                 	    1000	     17197 ns/op	   32648 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Imports-16                 	    1000	     16230 ns/op	   32648 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Imports-16                 	    1000	     17546 ns/op	   32648 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Imports-16                 	    1000	     16434 ns/op	   32648 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Imports-16                 	    1000	     16503 ns/op	   32648 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Imports-16                 	    1000	     16240 ns/op	   32648 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Imports-16                 	    1000	     15566 ns/op	   32648 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Imports-16                 	    1000	     16778 ns/op	   32648 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Imports-16                 	    1000	     17383 ns/op	   32648 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Imports-16                 	    1000	     16254 ns/op	   32648 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Instantiate-16             	    1000	     15095 ns/op	    5672 B/op	      91 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Instantiate-16             	    1000	     14232 ns/op	    5672 B/op	      91 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Instantiate-16             	    1000	     15458 ns/op	    5672 B/op	      91 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Instantiate-16             	    1000	     15005 ns/op	    5672 B/op	      91 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Instantiate-16             	    1000	     15525 ns/op	    5672 B/op	      91 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Instantiate-16             	    1000	     14687 ns/op	    5672 B/op	      91 allocs/op
