# draglinecompare raw v1
# target compat
# rounds 6
# benchtime 500ms
# filter .*
# tiered false
# benchmark_sha256 4b10e673404f06328b563c34518c9fea485c9718c5c9839cf8b7119b7563553e
# round 1 railshot-first
goos: darwin
goarch: arm64
pkg: wagobench
cpu: Apple M4 Max
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.le_s/railshot-16    	   71205	      8465 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.le_s/dragline-16    	   77044	      7779 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.le_u/railshot-16    	   71524	      8432 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.le_u/dragline-16    	   77138	      7798 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.ge_s/railshot-16    	   70722	      8441 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.ge_s/dragline-16    	   77122	      7779 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.ge_u/railshot-16    	   71239	      8509 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.ge_u/dragline-16    	   77146	      7800 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.eqz/railshot-16     	   71136	      8460 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.eqz/dragline-16     	   76867	      7780 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.eq/railshot-16      	   70263	      8560 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.eq/dragline-16      	   77115	      7773 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.ne/railshot-16      	   70287	      8566 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.ne/dragline-16      	   77228	      7780 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.lt_s/railshot-16    	   70371	      8529 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.lt_s/dragline-16    	   77248	      7796 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.lt_u/railshot-16    	   70183	      8501 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.lt_u/dragline-16    	   77236	      7778 ns/op	       0 B/op	       0 allocs/op
