# draglinecompare raw v1
# target native
# rounds 6
# benchtime 500ms
# filter .*
# tiered false
# benchmark_sha256 4b10e673404f06328b563c34518c9fea485c9718c5c9839cf8b7119b7563553e
# round 1 railshot-first
goos: darwin
goarch: arm64
pkg: wagobench
cpu: Apple M4 Max
BenchmarkRailshotDraglineISAExec/isa_f32.min/dragline-16         	  163429	      3638 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.max/railshot-16         	   20540	     29248 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.max/dragline-16         	  164860	      3648 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.copysign/railshot-16    	    5120	    116818 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.copysign/dragline-16    	   19942	     30059 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.sqrt/railshot-16        	    5473	    109557 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.sqrt/dragline-16        	19737572	        30.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.abs/railshot-16         	   16353	     37279 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.abs/dragline-16         	  120012	      5000 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.neg/railshot-16         	   15986	     37487 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.neg/dragline-16         	  120184	      5000 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.ceil/railshot-16        	   13726	     43714 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.ceil/dragline-16        	  284052	      2153 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.floor/railshot-16       	   13717	     43663 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.floor/dragline-16       	  283203	      2129 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.trunc/railshot-16       	   13704	     43692 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.trunc/dragline-16       	  280418	      2150 ns/op	       0 B/op	       0 allocs/op
